             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff   raw_trig_err raw_trig_sqerr             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_mu          ul_br          ul_u2     comb_sigma    high1_ul_mu    high1_ul_br    high1_ul_u2     low1_ul_mu     low1_ul_br     low1_ul_u2    high2_ul_mu    high2_ul_br    high2_ul_u2     low2_ul_mu     low2_ul_br     low2_ul_u2    high3_ul_mu    high3_ul_br    high3_ul_u2     low3_ul_mu     low3_ul_br     low3_ul_u2       dt_ul_mu       dt_ul_br       dt_ul_u2       dt_ll_mu       dt_ll_br       dt_ll_u2       err_trig       err_scat        err_muv       err_flux     err_hscale       err_hval       err_k3pi     err_hshape
  mc.p5.hnu.270.nodk            270        0.07290        0.27000        0.29322        0.00390        0.20554        0.00048        0.90667        0.01365      898.00684     1990.43803       91.30698     1914.00000    8.11976e+02    3.95050e+03    1.66892e+02    1.35841e-05    4.62709e-06    1.01624e+02    2.69722e+02    2.19540e-05    7.47807e-06    9.31011e+01    7.57797e-06    2.58124e-06    3.71540e+02    3.02415e-05    1.03010e-05    5.90350e+01    4.80516e-06    1.63675e-06    4.74366e+02    3.86111e-05    1.31519e-05    4.17796e+01    3.40066e-06    1.15835e-06    1.06995e+02    8.70883e-06    2.96643e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.17853e+03    5.17991e+03    3.96184e+02    9.90461e+01    2.56161e+02    6.71078e+02    5.42033e-04    5.56053e+02
  mc.p5.hnu.271.nodk            271        0.07344        0.27100        0.29251        0.00390        0.20554        0.00048        0.91111        0.01318      872.38583     2042.52279       92.81226     1905.00000    8.24395e+02    4.01082e+03    1.69449e+02    1.37919e-05    4.69615e-06    1.03231e+02    2.73274e+02    2.22426e-05    7.57360e-06    9.48391e+01    7.71923e-06    2.62840e-06    3.77096e+02    3.06929e-05    1.04509e-05    6.00111e+01    4.88448e-06    1.66316e-06    4.81924e+02    3.92252e-05    1.33562e-05    4.24233e+01    3.45296e-06    1.17573e-06    8.03356e+01    6.53875e-06    2.22644e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.13493e+03    5.01642e+03    4.17190e+02    1.04297e+02    3.63407e+02    7.99868e+02    1.53600e-03    7.78011e+02
  mc.p5.hnu.272.nodk            272        0.07398        0.27200        0.29304        0.00390        0.20691        0.00049        0.90710        0.01330      907.22700     2054.01259       94.87565     1914.00000    8.36612e+02    4.04332e+03    1.73105e+02    1.39963e-05    4.76436e-06    1.05145e+02    2.78931e+02    2.25528e-05    7.67701e-06    9.63247e+01    7.78827e-06    2.65114e-06    3.84756e+02    3.11092e-05    1.05896e-05    6.09805e+01    4.93054e-06    1.67836e-06    4.90575e+02    3.96651e-05    1.35021e-05    4.32533e+01    3.49722e-06    1.19046e-06    8.18525e+01    6.61813e-06    2.25282e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.20653e+03    5.07301e+03    4.21897e+02    1.05474e+02    4.58232e+02    8.42358e+02    2.06621e-03    8.93880e+02
  mc.p5.hnu.273.nodk            273        0.07453        0.27300        0.29447        0.00390        0.20800        0.00049        0.89894        0.01358      969.77626     2061.59969       95.98858     1932.00000    8.37598e+02    4.02683e+03    1.74224e+02    1.40128e-05    4.76895e-06    1.06186e+02    2.81049e+02    2.26047e-05    7.69302e-06    9.75037e+01    7.84220e-06    2.66892e-06    3.87874e+02    3.11966e-05    1.06171e-05    6.17040e+01    4.96284e-06    1.68899e-06    4.95699e+02    3.98690e-05    1.35685e-05    4.37546e+01    3.51918e-06    1.19767e-06    8.72778e+01    7.01973e-06    2.38901e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.32691e+03    4.51524e+03    4.25019e+02    1.06255e+02    6.27079e+02    1.00106e+03    3.81850e-03    1.21223e+03
  mc.p5.hnu.274.nodk            274        0.07508        0.27400        0.29416        0.00370        0.20164        0.00049        0.90133        0.01394      934.48266     1976.49356       92.47023     1854.00000    8.35342e+02    4.14269e+03    1.68440e+02    1.39751e-05    4.75544e-06    1.02602e+02    2.72271e+02    2.25896e-05    7.68681e-06    9.39637e+01    7.79592e-06    2.65280e-06    3.75090e+02    3.11202e-05    1.05896e-05    5.95831e+01    4.94346e-06    1.68216e-06    4.78916e+02    3.97344e-05    1.35208e-05    4.21707e+01    3.49879e-06    1.19057e-06    8.54435e+01    7.08902e-06    2.41226e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.25367e+03    4.15014e+03    3.90653e+02    9.76632e+01    5.65785e+02    9.49321e+02    3.35265e-03    1.14351e+03
  mc.p5.hnu.275.nodk            275        0.07563        0.27500        0.29460        0.00370        0.20209        0.00048        0.88929        0.01427     1016.86468     1986.78547       92.23418     1885.00000    8.30747e+02    4.11085e+03    1.67882e+02    1.38982e-05    4.72898e-06    1.02440e+02    2.71712e+02    2.24937e-05    7.65370e-06    9.40787e+01    7.78832e-06    2.65005e-06    3.74532e+02    3.10057e-05    1.05500e-05    5.93483e+01    4.91315e-06    1.67175e-06    4.78359e+02    3.96011e-05    1.34746e-05    4.21316e+01    3.48787e-06    1.18678e-06    9.45645e+01    7.82853e-06    2.66373e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.41207e+03    3.57615e+03    3.94732e+02    9.86829e+01    6.81491e+02    1.01137e+03    5.40076e-03    1.33264e+03
  mc.p5.hnu.276.nodk            276        0.07618        0.27600        0.29508        0.00370        0.20290        0.00048        0.89818        0.01380      952.53779     2008.14578       91.22048     1875.00000    8.24071e+02    4.06151e+03    1.67202e+02    1.37865e-05    4.69104e-06    1.01633e+02    2.69025e+02    2.21822e-05    7.54779e-06    9.32573e+01    7.68943e-06    2.61643e-06    3.71852e+02    3.06606e-05    1.04327e-05    5.88850e+01    4.85530e-06    1.65208e-06    4.74678e+02    3.91390e-05    1.33176e-05    4.18256e+01    3.44868e-06    1.17346e-06    7.99338e+01    6.59086e-06    2.24263e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.28534e+03    3.65346e+03    4.03265e+02    1.00816e+02    6.33979e+02    9.75085e+02    7.09710e-03    1.26923e+03
  mc.p5.hnu.277.nodk            277        0.07673        0.27700        0.29503        0.00370        0.20417        0.00048        0.90520        0.01356      932.90479     2038.91718       92.17600     1873.00000    8.23249e+02    4.03212e+03    1.68085e+02    1.37727e-05    4.68678e-06    1.02642e+02    2.71914e+02    2.22803e-05    7.58187e-06    9.43040e+01    7.72718e-06    2.62951e-06    3.75740e+02    3.07878e-05    1.04769e-05    5.95347e+01    4.87822e-06    1.66003e-06    4.78558e+02    3.92126e-05    1.33438e-05    4.21573e+01    3.45433e-06    1.17549e-06    7.00584e+01    5.74052e-06    1.95347e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.22533e+03    3.76628e+03    4.15718e+02    1.03930e+02    6.62955e+02    9.89871e+02    9.22330e-03    1.33232e+03
  mc.p5.hnu.278.nodk            278        0.07728        0.27800        0.29551        0.00370        0.20470        0.00048        0.88910        0.01455     1063.08279     1992.00802       88.25156     1896.00000    7.95529e+02    3.88625e+03    1.62847e+02    1.33090e-05    4.52973e-06    9.88956e+01    2.61667e+02    2.13852e-05    7.27849e-06    9.09286e+01    7.43130e-06    2.52925e-06    3.61492e+02    2.95435e-05    1.00552e-05    5.74338e+01    4.69388e-06    1.59757e-06    4.61312e+02    3.77015e-05    1.28318e-05    4.06744e+01    3.32419e-06    1.13139e-06    9.24016e+01    7.55168e-06    2.57023e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.43403e+03    3.22408e+03    3.96810e+02    9.92024e+01    5.44154e+02    9.36529e+02    1.02393e-02    1.15352e+03
  mc.p5.hnu.279.nodk            279        0.07784        0.27900        0.29688        0.00370        0.20621        0.00049        0.89231        0.01455     1062.57868     1998.43858       87.02422     1885.00000    7.79183e+02    3.77865e+03    1.60673e+02    1.30355e-05    4.43776e-06    9.78348e+01    2.59502e+02    2.10536e-05    7.16739e-06    8.97150e+01    7.27865e-06    2.47791e-06    3.58327e+02    2.90713e-05    9.89691e-06    5.66882e+01    4.59916e-06    1.56572e-06    4.56139e+02    3.70069e-05    1.25985e-05    4.01582e+01    3.25807e-06    1.10916e-06    8.28894e+01    6.72489e-06    2.28939e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.40297e+03    3.24493e+03    3.99376e+02    9.98439e+01    5.01555e+02    9.01651e+02    1.93063e-02    1.02286e+03
