             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff       trig_err             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_mu          ul_br          ul_u2    high1_ul_mu    high1_ul_br    high1_ul_u2     low1_ul_mu     low1_ul_br     low1_ul_u2    high2_ul_mu    high2_ul_br    high2_ul_u2     low2_ul_mu     low2_ul_br     low2_ul_u2       dt_ul_mu       dt_ul_br       dt_ul_u2       dt_ll_mu       dt_ll_br       dt_ll_u2       err_scat       err_trig        err_muv       err_flux     err_hscale       err_hval     err_hshape
  mc.p5.hnu.270.nodk            270        0.07290        0.27000        0.29337        0.00390        0.20559        0.00048        0.90755        0.01353     2032.73593       93.93087     1942.00000    8.30806e+02    4.04099e+03    8.30806e+02    1.38992e-05    4.73439e-06    1.34067e+03    2.24290e-05    7.63987e-06    4.64992e+02    7.77919e-06    2.64978e-06    1.85542e+03    3.10407e-05    1.05732e-05    2.94289e+02    4.92338e-06    1.67702e-06    4.99705e+02    8.35993e-06    2.84759e-06    0.00000e+00    0.00000e+00    0.00000e+00    5.40240e+03    9.18062e+02    4.13202e+02    1.03300e+02    3.62735e+02    7.93341e+02    8.29963e+02
  mc.p5.hnu.271.nodk            271        0.07344        0.27100        0.29273        0.00390        0.20561        0.00048        0.91160        0.01311     2092.15519       96.76734     1936.00000    8.56283e+02    4.16451e+03    8.56283e+02    1.43254e-05    4.87779e-06    1.38070e+03    2.30987e-05    7.86511e-06    4.78705e+02    8.00860e-06    2.72693e-06    1.90510e+03    3.18719e-05    1.08524e-05    3.02679e+02    5.06375e-06    1.72421e-06    3.81647e+02    6.38485e-06    2.17404e-06    0.00000e+00    0.00000e+00    0.00000e+00    5.26317e+03    9.04704e+02    4.37711e+02    1.09428e+02    5.17460e+02    9.47735e+02    1.18371e+03
  mc.p5.hnu.272.nodk            272        0.07398        0.27200        0.29326        0.00390        0.20700        0.00049        0.90761        0.01323     2095.51314       97.68023     1948.00000    8.55492e+02    4.13282e+03    8.55492e+02    1.43122e-05    4.87188e-06    1.38123e+03    2.31076e-05    7.86587e-06    4.78043e+02    7.99753e-06    2.72237e-06    1.90696e+03    3.19030e-05    1.08598e-05    3.02290e+02    5.05724e-06    1.72149e-06    3.98851e+02    6.67267e-06    2.27139e-06    0.00000e+00    0.00000e+00    0.00000e+00    5.28008e+03    9.33481e+02    4.39118e+02    1.09779e+02    5.95637e+02    9.49765e+02    1.23357e+03
  mc.p5.hnu.273.nodk            273        0.07453        0.27300        0.29469        0.00390        0.20809        0.00049        0.89947        0.01351     2099.16426       98.02310     1968.00000    8.55274e+02    4.11009e+03    8.55274e+02    1.43085e-05    4.86959e-06    1.37825e+03    2.30577e-05    7.84719e-06    4.76237e+02    7.96731e-06    2.71150e-06    1.90121e+03    3.18067e-05    1.08247e-05    3.01632e+02    5.04622e-06    1.71737e-06    4.29186e+02    7.18016e-06    2.44361e-06    0.00000e+00    0.00000e+00    0.00000e+00    4.68129e+03    9.94212e+02    4.40649e+02    1.10162e+02    7.32367e+02    1.09282e+03    1.55703e+03
  mc.p5.hnu.274.nodk            274        0.07508        0.27400        0.29437        0.00370        0.20171        0.00049        0.90170        0.01389     2015.35369       94.49029     1889.00000    8.52149e+02    4.22469e+03    8.52149e+02    1.42562e-05    4.85112e-06    1.37183e+03    2.29503e-05    7.80956e-06    4.75402e+02    7.95335e-06    2.70637e-06    1.89648e+03    3.17277e-05    1.07963e-05    3.01431e+02    5.04287e-06    1.71599e-06    4.28942e+02    7.17609e-06    2.44188e-06    0.00000e+00    0.00000e+00    0.00000e+00    4.31494e+03    9.63842e+02    4.06165e+02    1.01541e+02    6.67490e+02    1.03095e+03    1.44349e+03
  mc.p5.hnu.275.nodk            275        0.07563        0.27500        0.29482        0.00370        0.20217        0.00048        0.88989        0.01420     2027.40410       95.02807     1920.00000    8.54358e+02    4.22590e+03    8.54358e+02    1.42932e-05    4.86339e-06    1.37780e+03    2.30502e-05    7.84305e-06    4.77968e+02    7.99628e-06    2.72081e-06    1.90124e+03    3.18073e-05    1.08227e-05    3.02359e+02    5.05838e-06    1.72116e-06    4.73213e+02    7.91674e-06    2.69374e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.72387e+03    1.04670e+03    4.11037e+02    1.02759e+02    8.50288e+02    1.14985e+03    1.74584e+03
  mc.p5.hnu.276.nodk            276        0.07618        0.27600        0.29532        0.00370        0.20298        0.00048        0.89711        0.01381     2042.48907       93.88199     1913.00000    8.42776e+02    4.15210e+03    8.42776e+02    1.40994e-05    4.79752e-06    1.35922e+03    2.27394e-05    7.73738e-06    4.71603e+02    7.88980e-06    2.68461e-06    1.87565e+03    3.13791e-05    1.06771e-05    2.98385e+02    4.99191e-06    1.69856e-06    4.17273e+02    6.98086e-06    2.37533e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.77949e+03    9.88644e+02    4.17176e+02    1.04294e+02    7.86532e+02    1.10329e+03    1.63441e+03
  mc.p5.hnu.277.nodk            277        0.07673        0.27700        0.29522        0.00370        0.20424        0.00048        0.90406        0.01357     2077.65887       95.85003     1911.00000    8.52370e+02    4.17345e+03    8.52370e+02    1.42599e-05    4.85257e-06    1.37541e+03    2.30103e-05    7.83027e-06    4.76933e+02    7.97896e-06    2.71519e-06    1.89846e+03    3.17607e-05    1.08080e-05    3.01810e+02    5.04919e-06    1.71821e-06    3.62151e+02    6.05869e-06    2.06174e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.91077e+03    9.73157e+02    4.31667e+02    1.07917e+02    8.42100e+02    1.14820e+03    1.77342e+03
  mc.p5.hnu.278.nodk            278        0.07728        0.27800        0.29572        0.00370        0.20478        0.00048        0.88827        0.01452     2025.84918       90.64674     1934.00000    8.09620e+02    3.95355e+03    8.09620e+02    1.35447e-05    4.60996e-06    1.31177e+03    2.19456e-05    7.46922e-06    4.53177e+02    7.58153e-06    2.58038e-06    1.80899e+03    3.02639e-05    1.03004e-05    2.86833e+02    4.79864e-06    1.63322e-06    4.77698e+02    7.99177e-06    2.72001e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.33456e+03    1.09731e+03    4.10406e+02    1.02602e+02    6.89285e+02    1.07966e+03    1.50301e+03
  mc.p5.hnu.279.nodk            279        0.07784        0.27900        0.29710        0.00370        0.20628        0.00049        0.89143        0.01453     2038.68637       90.50366     1919.00000    8.04044e+02    3.89792e+03    8.04044e+02    1.34515e-05    4.57935e-06    1.29768e+03    2.17099e-05    7.39082e-06    4.49846e+02    7.52580e-06    2.56205e-06    1.79131e+03    2.99681e-05    1.02022e-05    2.84619e+02    4.76161e-06    1.62102e-06    4.10501e+02    6.86757e-06    2.33796e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.37695e+03    1.10407e+03    4.15624e+02    1.03906e+02    6.86801e+02    1.07155e+03    1.43201e+03
