              ntotal                 eff                  up                down               width                 rat
                 200                 0.8            0.845449             0.74775           0.0976985            0.997849
                 200                0.81            0.854446            0.758518           0.0959278            0.975334
                 200                0.82            0.863395            0.769333           0.0940621            0.952847
                 200                0.83            0.872293            0.780197           0.0920953            0.930369
                 200                0.84            0.881135            0.791115           0.0900204            0.907876
                 200                0.85            0.889919            0.802089           0.0878292            0.885347
                 200                0.86            0.898638            0.813125           0.0855124            0.862755
                 200                0.87            0.907287            0.824229           0.0830587            0.840074
                 200                0.88             0.91586            0.835405           0.0804547            0.817272
                 200                0.89            0.924347            0.846663           0.0776844            0.794318
                 200                 0.9            0.932739            0.858011           0.0747279            0.771172
                 200                0.91            0.941021            0.869461           0.0715603            0.747793
                 200                0.92            0.949178            0.881028           0.0681501             0.72413
                 200                0.93            0.957187            0.892732           0.0644553            0.700123
                 200                0.94            0.965018            0.904599           0.0604193            0.675699
                 200                0.95            0.972626            0.916665           0.0559609            0.650767
                 200                0.96            0.979943            0.928986           0.0509574            0.625202
                 200                0.97            0.986856             0.94165           0.0452058            0.598829
                 200                0.98             0.99314             0.95482           0.0383207            0.571359
                 200                0.99             0.99822            0.968857           0.0293629            0.542203
                 200                   1                   1            0.985133            0.014867            0.510932
                 250                 0.5            0.553805            0.446195            0.107611             1.77342
                 250                0.51            0.561727             0.45413            0.107598             1.74124
                 250                0.52            0.573586            0.466058            0.107528             1.70953
                 250                0.53            0.581475            0.474026            0.107449             1.67893
                 250                0.54            0.593283            0.486003             0.10728             1.64826
                 250                0.55            0.601139            0.494005            0.107134             1.61908
                 250                0.56            0.612897            0.506032            0.106865             1.58934
                 250                0.57            0.620719            0.514067            0.106652             1.56144
                 250                0.58            0.632427            0.526146            0.106281             1.53252
                 250                0.59            0.640214            0.534215               0.106             1.50578
                 250                 0.6             0.65187            0.546345            0.105526             1.47759
                 250                0.61            0.659623            0.554449            0.105174             1.45189
                 250                0.62            0.671225            0.566631            0.104594             1.42434
