                 run          burst_time             poskick             negkick
               20484          1190347222                0.25               -0.25
               20484          1190347237                0.25               -0.25
               20484          1190347251                0.25               -0.25
               20484          1190347266                0.25               -0.25
               20484          1190347280                0.25               -0.25
               20484          1190347294                0.25               -0.25
               20484          1190347309                0.25               -0.25
               20484          1190347323                0.25               -0.25
               20484          1190347338                0.25               -0.25
               20484          1190347352                0.25               -0.25
               20484          1190347366                0.25               -0.25
               20484          1190347381                0.25               -0.25
               20484          1190347395                0.25               -0.25
               20484          1190347410                0.25               -0.25
               20484          1190347424                0.25               -0.25
               20484          1190347438                0.25               -0.25
               20484          1190347453                0.25               -0.25
               20484          1190347467                0.25               -0.25
               20484          1190347482                0.25               -0.25
               20484          1190347496                0.25               -0.25
               20484          1190347510                0.25               -0.25
               20484          1190347525                0.25               -0.25
               20484          1190347539                0.25               -0.25
               20484          1190347554                0.25               -0.25
               20484          1190347568                0.25               -0.25
               20484          1190347582                0.25               -0.25
               20484          1190347597                0.25               -0.25
               20484          1190347611                0.25               -0.25
               20484          1190347626                0.25               -0.25
               20484          1190347640                0.25               -0.25
               20484          1190347654                0.25               -0.25
               20484          1190347669                0.25               -0.25
               20484          1190347683                0.25               -0.25
               20484          1190347698                0.25               -0.25
               20484          1190347712                0.25               -0.25
               20484          1190347726                0.25               -0.25
               20484          1190347741                0.25               -0.25
               20484          1190347755                0.25               -0.25
               20484          1190347770                0.25               -0.25
               20484          1190347784                0.25               -0.25
               20484          1190347798                0.25               -0.25
               20484          1190347813                0.25               -0.25
               20484          1190347827                0.25               -0.25
               20484          1190347842                0.25               -0.25
               20484          1190347856                0.25               -0.25
               20484          1190347870                0.25               -0.25
               20484          1190347885                0.25               -0.25
               20484          1190347899                0.25               -0.25
               20484          1190347914                0.25               -0.25
               20484          1190347928                0.25               -0.25
               20484          1190347942                0.25               -0.25
               20484          1190347957                0.25               -0.25
               20484          1190347971                0.25               -0.25
               20484          1190347986                0.25               -0.25
               20484          1190348000                0.25               -0.25
               20484          1190348014                0.25               -0.25
               20484          1190348029                0.25               -0.25
               20484          1190348043                0.25               -0.25
               20484          1190348058                0.25               -0.25
               20484          1190348072                0.25               -0.25
               20484          1190348086                0.25               -0.25
               20484          1190348101                0.25               -0.25
               20484          1190348115                0.25               -0.25
               20484          1190348130                0.25               -0.25
               20484          1190348144                0.25               -0.25
               20484          1190348158                0.25               -0.25
               20484          1190348173                0.25               -0.25
               20484          1190348187                0.25               -0.25
               20484          1190348202                0.25               -0.25
               20484          1190348216                0.25               -0.25
               20484          1190348230                0.25               -0.25
               20484          1190348245                0.25               -0.25
               20484          1190348259                0.25               -0.25
               20484          1190348274                0.25               -0.25
               20484          1190348288                0.25               -0.25
               20484          1190348302                0.25               -0.25
               20484          1190348317                0.25               -0.25
               20484          1190348331                0.25               -0.25
               20484          1190348346                0.25               -0.25
               20484          1190348360                0.25               -0.25
               20484          1190348374                0.25               -0.25
               20484          1190348389                0.25               -0.25
               20484          1190348403                0.25               -0.25
               20484          1190348418                0.25               -0.25
               20484          1190348432                0.25               -0.25
               20484          1190348446                0.25               -0.25
               20484          1190348461                0.25               -0.25
               20484          1190348475                0.25               -0.25
               20484          1190348490                0.25               -0.25
               20484          1190348504                0.25               -0.25
               20484          1190348518                0.25               -0.25
               20484          1190348533                0.25               -0.25
               20484          1190348547                0.25               -0.25
               20484          1190348562                0.25               -0.25
               20484          1190348576                0.25               -0.25
               20484          1190348590                0.25               -0.25
               20484          1190348605                0.25               -0.25
               20484          1190348619                0.25               -0.25
               20484          1190348634                0.25               -0.25
               20484          1190348648                0.25               -0.25
               20484          1190348662                0.25               -0.25
               20484          1190348677                0.25               -0.25
               20484          1190348691                0.25               -0.25
               20484          1190348706                0.25               -0.25
               20484          1190348720                0.25               -0.25
               20484          1190348734                0.25               -0.25
               20484          1190348749                0.25               -0.25
               20484          1190348763                0.25               -0.25
               20484          1190348778                0.25               -0.25
               20484          1190348792                0.25               -0.25
               20484          1190348806                0.25               -0.25
               20484          1190348821                0.25               -0.25
               20484          1190348835                0.25               -0.25
               20484          1190348850                0.25               -0.25
               20484          1190348864                0.25               -0.25
               20484          1190348878                0.25               -0.25
               20484          1190348893                0.25               -0.25
               20484          1190348907                0.25               -0.25
               20484          1190348922                0.25               -0.25
               20484          1190348936                0.25               -0.25
               20484          1190348950                0.25               -0.25
               20484          1190348965                0.25               -0.25
               20484          1190348979                0.25               -0.25
               20484          1190348994                0.25               -0.25
               20484          1190349008                0.25               -0.25
               20484          1190349022                0.25               -0.25
               20484          1190349037                0.25               -0.25
               20484          1190349051                0.25               -0.25
               20484          1190349066                0.25               -0.25
               20484          1190349080                0.25               -0.25
               20485          1190349238                0.25               -0.25
               20485          1190349253                0.25               -0.25
               20485          1190349267                0.25               -0.25
               20485          1190349282                0.25               -0.25
               20485          1190349296                0.25               -0.25
               20485          1190349310                0.25               -0.25
               20485          1190349325                0.25               -0.25
               20485          1190349339                0.25               -0.25
               20485          1190349354                0.25               -0.25
