                 run          burst_time               count                dxdz                dydz                xoff                yoff                pmag               alpha                beta                 pol
               20497          1190491995                9058                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492010                8845                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492024                8986                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492038                8765                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492053                8895                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492067                8929                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492082                8953                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492096                8854                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492110                8925                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492125                8845                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492139                8722                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492154                8905                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492168                8921                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492182                8917                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492197                8870                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492211                9023                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492226                8893                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492240                8848                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492254                8939                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492269                8818                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492283                8859                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492298                8959                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492312                8927                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492326                8888                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492341                8778                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492355                8989                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492370                9044                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492384                8972                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492398                8984                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492413                8938                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492427                8940                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492442                8794                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492456                7982                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492470                4095                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492485                8805                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492499                8933                   0                   0                   0                   0              73.648         -3.8547e-05          0.00195505                  -1
               20497          1190492514                8710                   0                   0                   0                   0              73.663         -3.8547e-05          0.00192627                  -1
               20497          1190492528                8919                   0                   0                   0                   0              73.663         -3.8547e-05          0.00192627                  -1
               20497          1190492542                8867                   0                   0                   0                   0              73.663         -3.8547e-05          0.00192627                  -1
               20497          1190492557                4403                   0                   0                   0                   0              73.663         -3.8547e-05          0.00192627                  -1
               20497          1190492571                8946                   0                   0                   0                   0              73.663         -3.8547e-05          0.00192627                  -1
               20497          1190492586                9027                   0                   0                   0                   0              73.663         -3.8547e-05          0.00192627                  -1
               20497          1190492600                8970                   0                   0                   0                   0              73.663         -3.8547e-05          0.00192627                  -1
               20497          1190492614                8979                   0                   0                   0                   0              73.663         -3.8547e-05          0.00192627                  -1
               20497          1190492629                8816                   0                   0                   0                   0              73.663         -3.8547e-05          0.00192627                  -1
               20497          1190492643                8881                   0                   0                   0                   0              73.663         -3.8547e-05          0.00192627                  -1
               20497          1190492658                8831                   0                   0                   0                   0              73.663         -3.8547e-05          0.00192627                  -1
               20497          1190492672                8915                   0                   0                   0                   0              73.663         -3.8547e-05          0.00192627                  -1
               20497          1190492686                9032                   0                   0                   0                   0              73.663         -3.8547e-05          0.00192627                  -1
               20497          1190492701                9013                   0                   0                   0                   0              73.663         -3.8547e-05          0.00192627                  -1
               20497          1190492715                9075                   0                   0                   0                   0              73.663         -3.8547e-05          0.00192627                  -1
               20497          1190492730                9046                   0                   0                   0                   0              73.663         -3.8547e-05          0.00192627                  -1
               20497          1190492744                8990                   0                   0                   0                   0              73.663         -3.8547e-05          0.00192627                  -1
