         z                  bx                  by
      1600         0.000133362        -0.000160184
      1610         0.000133524        -0.000159968
      1620         0.000133686        -0.000159751
      1630         0.000133849        -0.000159535
      1640         0.000134011        -0.000159319
      1650         0.000134173        -0.000159103
      1660         0.000134335        -0.000158886
      1670         0.000134497         -0.00015867
      1680         0.000134659        -0.000158454
      1690         0.000134822        -0.000158238
      1700         0.000134984        -0.000158022
      1710          0.00014175         -0.00015845
      1720          0.00014925         -0.00015895
      1730          0.00015675         -0.00015945
      1740          0.00016425         -0.00015995
      1750          0.00017175         -0.00016045
      1760          0.00017925         -0.00016095
      1770          0.00018675         -0.00016145
      1780          0.00019425         -0.00016195
      1790          0.00020175         -0.00016245
      1800          0.00020925         -0.00016295
      1810          0.00021675         -0.00016345
      1820          0.00022425         -0.00016395
      1830          0.00023175         -0.00016445
      1840          0.00023925         -0.00016495
      1850          0.00024675         -0.00016545
      1860          0.00025425         -0.00016595
      1870          0.00026175         -0.00016645
      1880          0.00026925         -0.00016695
      1890          0.00027675         -0.00016745
      1900          0.00028425         -0.00016795
      1910          0.00029175         -0.00016845
      1920          0.00029925         -0.00016895
      1930          0.00030675         -0.00016945
      1940          0.00031425         -0.00016995
      1950          0.00032175         -0.00017045
      1960          0.00032925         -0.00017095
      1970          0.00033675         -0.00017145
      1980          0.00034425         -0.00017195
      1990          0.00035175         -0.00017245
      2000          0.00035925         -0.00017295
      2010          0.00036675         -0.00017345
      2020          0.00037425         -0.00017395
      2030          0.00038175         -0.00017445
      2040          0.00038925         -0.00017495
      2050          0.00039675         -0.00017545
      2060          0.00040425         -0.00017595
      2070          0.00041175         -0.00017645
      2080          0.00041925         -0.00017695
      2090          0.00042675         -0.00017745
      2100          0.00043425         -0.00017795
      2110         0.000427575        -0.000176282
      2120         0.000419325        -0.000174373
      2130         0.000411075        -0.000172464
      2140         0.000402825        -0.000170555
      2150         0.000394575        -0.000168645
      2160         0.000386325        -0.000166736
      2170         0.000378075        -0.000164827
      2180         0.000369825        -0.000162918
      2190         0.000361575        -0.000161009
      2200         0.000353325          -0.0001591
      2210         0.000345075        -0.000157191
      2220         0.000336825        -0.000155282
      2230         0.000328575        -0.000153373
      2240         0.000320325        -0.000151464
      2250         0.000312075        -0.000149555
      2260         0.000303825        -0.000147645
      2270         0.000295575        -0.000145736
      2280         0.000287325        -0.000143827
      2290         0.000279075        -0.000141918
      2300         0.000270825        -0.000140009
      2310         0.000262575          -0.0001381
      2320         0.000254325        -0.000136191
      2330         0.000246075        -0.000134282
      2340         0.000237825        -0.000132373
      2350         0.000229575        -0.000130464
      2360         0.000221325        -0.000128555
      2370         0.000213075        -0.000126645
      2380         0.000204825        -0.000124736
      2390         0.000196575        -0.000122827
      2400         0.000188325        -0.000120918
      2410         0.000180075        -0.000119009
      2420         0.000171825          -0.0001171
      2430         0.000163575        -0.000115191
      2440         0.000155325        -0.000113282
      2450         0.000147075        -0.000111373
      2460         0.000138825        -0.000109464
      2470         0.000130575        -0.000107555
      2480         0.000122325        -0.000105645
      2490         0.000114075        -0.000103736
      2500         0.000105825        -0.000101827
      2510          9.7575e-05        -9.99182e-05
      2520          8.9325e-05        -9.80091e-05
      2530          8.1075e-05           -9.61e-05
      2540          7.2825e-05        -9.41909e-05
      2550         7.53358e-05        -9.41343e-05
      2560         7.90423e-05        -9.42836e-05
      2570         8.27488e-05        -9.44328e-05
      2580         8.64552e-05        -9.45821e-05
      2590         9.01617e-05        -9.47313e-05
      2600         9.38682e-05        -9.48806e-05
      2610         9.75746e-05        -9.50298e-05
      2620         0.000101281        -9.51791e-05
      2630         0.000104988        -9.53284e-05
      2640         0.000108694        -9.54776e-05
      2650           0.0001124        -9.56269e-05
      2660         0.000116107        -9.57761e-05
      2670         0.000119813        -9.59254e-05
      2680          0.00012352        -9.60746e-05
      2690         0.000127226        -9.62239e-05
      2700         0.000130933        -9.63731e-05
      2710         0.000134639        -9.65224e-05
      2720         0.000138346        -9.66716e-05
      2730         0.000142052        -9.68209e-05
      2740         0.000145759        -9.69702e-05
      2750         0.000149465        -9.71194e-05
      2760         0.000153172        -9.72687e-05
      2770         0.000156878        -9.74179e-05
      2780         0.000160585        -9.75672e-05
      2790         0.000164291        -9.77164e-05
      2800         0.000167998        -9.78657e-05
      2810         0.000171704        -9.80149e-05
      2820          0.00017541        -9.81642e-05
      2830         0.000179117        -9.83134e-05
      2840         0.000182823        -9.84627e-05
      2850          0.00018653        -9.86119e-05
      2860         0.000190236        -9.87612e-05
      2870         0.000193943        -9.89104e-05
      2880         0.000197649        -9.90597e-05
      2890         0.000201356         -9.9209e-05
      2900         0.000205062        -9.93582e-05
      2910         0.000208769        -9.95075e-05
      2920         0.000212475        -9.96567e-05
      2930         0.000216182         -9.9806e-05
      2940         0.000219888        -9.99552e-05
      2950         0.000220039        -9.82409e-05
      2960         0.000218666         -9.5728e-05
      2970         0.000217293         -9.3215e-05
      2980          0.00021592        -9.07021e-05
      2990         0.000214547        -8.81891e-05
      3000         0.000213174        -8.56762e-05
      3010         0.000211801        -8.31632e-05
      3020         0.000210427        -8.06503e-05
      3030         0.000209054        -7.81373e-05
      3040         0.000207681        -7.56244e-05
      3050         0.000206308        -7.31114e-05
      3060         0.000204935        -7.05984e-05
      3070         0.000203562        -6.80855e-05
      3080         0.000202189        -6.55725e-05
      3090         0.000200816        -6.30596e-05
      3100         0.000199443        -6.05466e-05
      3110          0.00019807        -5.80337e-05
      3120         0.000196697        -5.55207e-05
      3130         0.000195324        -5.30078e-05
      3140         0.000193951        -5.04948e-05
      3150         0.000192578        -4.79819e-05
      3160         0.000191205        -4.54689e-05
      3170         0.000189832         -4.2956e-05
      3180         0.000188459         -4.0443e-05
      3190         0.000187085        -3.79301e-05
      3200         0.000185712        -3.54171e-05
      3210         0.000184339        -3.29041e-05
      3220         0.000182966        -3.03912e-05
      3230         0.000181593        -2.78782e-05
      3240          0.00018022        -2.53653e-05
      3250         0.000178847        -2.28523e-05
      3260         0.000177474        -2.03394e-05
      3270         0.000176101        -1.78264e-05
      3280         0.000174728        -1.53135e-05
      3290         0.000173355        -1.28005e-05
      3300         0.000171982        -1.02876e-05
      3310         0.000170609        -7.77461e-06
      3320         0.000169236        -5.26166e-06
      3330         0.000168243        -3.33333e-06
      3340         0.000170674        -6.66667e-06
      3350         0.000173104              -1e-05
      3360         0.000175535        -1.33333e-05
      3370         0.000177965        -1.66667e-05
      3380         0.000180396              -2e-05
      3390         0.000182826        -2.33333e-05
      3400         0.000185257        -2.66667e-05
      3410          0.00017065          -2.385e-05
      3420          0.00015415          -2.035e-05
      3430          0.00013765          -1.685e-05
      3440          0.00013375         -2.5725e-05
      3450          0.00013125         -3.5975e-05
      3460         0.000138469        -3.74885e-05
      3470         0.000146769        -3.80313e-05
      3480         0.000155068         -3.8574e-05
      3490         0.000163367        -3.91168e-05
      3500         0.000171667        -3.96595e-05
      3510         0.000179966        -4.02023e-05
      3520         0.000188265        -4.07451e-05
      3530         0.000196565        -4.12878e-05
      3540         0.000204864        -4.18306e-05
      3550         0.000213163        -4.23734e-05
      3560         0.000221463        -4.29161e-05
      3570         0.000229762        -4.34589e-05
      3580         0.000238062        -4.40016e-05
      3590         0.000246361        -4.45444e-05
      3600          0.00025466        -4.50872e-05
      3610          0.00026296        -4.56299e-05
      3620         0.000271259        -4.61727e-05
      3630         0.000279558        -4.67155e-05
      3640         0.000287858        -4.72582e-05
      3650         0.000296157         -4.7801e-05
      3660         0.000304456        -4.83438e-05
      3670         0.000312756        -4.88865e-05
      3680         0.000321055        -4.94293e-05
      3690         0.000329354         -4.9972e-05
      3700         0.000337654        -5.05148e-05
      3710         0.000345953        -5.10576e-05
      3720         0.000354252        -5.16003e-05
      3730         0.000362552        -5.21431e-05
      3740         0.000370851        -5.26859e-05
      3750          0.00037915        -5.32286e-05
      3760          0.00038745        -5.37714e-05
      3770         0.000395749        -5.43141e-05
      3780         0.000404048        -5.48569e-05
      3790         0.000412348        -5.53997e-05
      3800         0.000420647        -5.59424e-05
      3810         0.000428946        -5.64852e-05
      3820         0.000437246         -5.7028e-05
      3830         0.000445545        -5.75707e-05
      3840            0.000454            -3.6e-05
      3850         0.000451705        -4.19609e-05
      3860         0.000449409        -4.79217e-05
      3870         0.000447114        -5.38826e-05
      3880         0.000444819        -5.98434e-05
      3890         0.000442523        -6.58043e-05
      3900         0.000440228        -7.17651e-05
      3910         0.000437932         -7.7726e-05
      3920         0.000435637        -8.36868e-05
      3930         0.000433342        -8.96477e-05
      3940         0.000431046        -9.56085e-05
      3950         0.000428751        -0.000101569
      3960         0.000426456         -0.00010753
      3970          0.00042416        -0.000113491
      3980         0.000421865        -0.000119452
      3990         0.000419569        -0.000125413
      4000         0.000417274        -0.000131374
      4010         0.000414979        -0.000137335
      4020         0.000412683        -0.000143295
      4030         0.000410388        -0.000149256
      4040         0.000408093        -0.000155217
      4050         0.000405797        -0.000161178
      4060         0.000403502        -0.000167139
      4070         0.000401206          -0.0001731
      4080         0.000398911        -0.000179061
      4090         0.000396616        -0.000185021
      4100          0.00039432        -0.000190982
      4110         0.000392025        -0.000196943
      4120          0.00038973        -0.000202904
      4130          0.00038529        -0.000201744
      4140         0.000380612        -0.000199794
      4150         0.000375934        -0.000197843
      4160         0.000371256        -0.000195892
      4170         0.000366578        -0.000193941
      4180           0.0003619        -0.000191991
      4190         0.000357222         -0.00019004
      4200         0.000352544        -0.000188089
      4210         0.000347866        -0.000186138
      4220         0.000343188        -0.000184188
      4230         0.000338509        -0.000182237
      4240         0.000333831        -0.000180286
      4250         0.000329153        -0.000178335
      4260         0.000324475        -0.000176384
      4270         0.000319797        -0.000174434
      4280         0.000315119        -0.000172483
      4290         0.000310441        -0.000170532
      4300         0.000305763        -0.000168581
      4310         0.000301085        -0.000166631
      4320         0.000296407         -0.00016468
      4330         0.000291729        -0.000162729
      4340         0.000287051        -0.000160778
      4350         0.000282373        -0.000158828
      4360         0.000277695        -0.000156877
      4370         0.000273017        -0.000154926
      4380         0.000268339        -0.000152975
      4390         0.000261524        -0.000150689
      4400         0.000252573        -0.000148067
