             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff       trig_err             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_br          ul_u2    high1_ul_br    high1_ul_u2     low1_ul_br     low1_ul_u2    high2_ul_br    high2_ul_u2     low2_ul_br     low2_ul_u2       dt_ul_br       dt_ul_u2       dt_ll_u2       err_scat       err_trig        err_muv       err_flux     err_hscale       err_hval
  mc.p5.hnu.278.nodk            278        0.07728        0.27800        0.30261        0.00350        0.20207        0.00048        0.88889        0.01485     1890.50247      189.85174     1850.00000    1.58318e+03    7.83500e+03    2.64862e-05    9.01462e-06    3.00613e-05    1.02314e-05    2.31544e-05    7.88064e-06    3.37199e-05    1.14766e-05    2.02253e-05    6.88371e-06    2.33716e-05    7.95455e-06    0.00000e+00    2.90388e+03    9.97302e+02    3.57400e+02    8.97010e+01    8.27720e+01    5.02612e+02
  mc.p5.hnu.279.nodk            279        0.07784        0.27900        0.30385        0.00350        0.20355        0.00048        0.89600        0.01465     1913.47286      179.69257     1842.00000    1.49240e+03    7.33190e+03    2.49675e-05    8.49982e-06    2.85999e-05    9.73642e-06    2.16008e-05    7.35369e-06    3.21499e-05    1.09450e-05    1.87398e-05    6.37968e-06    1.97875e-05    6.73637e-06    0.00000e+00    2.97487e+03    9.79016e+02    3.66138e+02    9.18941e+01    7.62648e+01    4.82234e+02
  mc.p5.hnu.280.nodk            280        0.07840        0.28000        0.30338        0.00350        0.20428        0.00048        0.88800        0.01510     1889.92361      170.72725     1846.00000    1.41430e+03    6.92339e+03    2.36609e-05    8.05763e-06    2.72813e-05    9.29055e-06    2.03942e-05    6.94516e-06    3.08194e-05    1.04954e-05    1.75724e-05    5.98421e-06    2.03942e-05    6.94516e-06    0.00000e+00    2.62864e+03    1.03306e+03    3.57181e+02    8.96461e+01    6.82991e+01    4.58781e+02
  mc.p5.hnu.281.nodk            281        0.07896        0.28100        0.30366        0.00350        0.20517        0.00048        0.88757        0.01501     1895.01344      168.18024     1866.00000    1.39298e+03    6.78949e+03    2.33042e-05    7.93939e-06    2.68272e-05    9.13962e-06    1.99743e-05    6.80495e-06    3.04321e-05    1.03678e-05    1.71762e-05    5.85168e-06    2.10480e-05    7.17073e-06    0.00000e+00    2.64282e+03    1.02751e+03    3.59108e+02    9.01296e+01    6.26273e+01    4.48465e+02
  mc.p5.hnu.282.nodk            282        0.07952        0.28200        0.30453        0.00330        0.19798        0.00048        0.88961        0.01566     1783.29308      158.12515     1755.00000    1.35861e+03    6.86245e+03    2.27292e-05    7.74728e-06    2.62964e-05    8.96313e-06    1.94415e-05    6.62666e-06    2.98634e-05    1.01790e-05    1.66265e-05    5.66717e-06    2.04766e-05    6.97947e-06    0.00000e+00    1.95809e+03    9.85440e+02    3.18013e+02    7.98157e+01    5.61091e+01    4.27912e+02
  mc.p5.hnu.283.nodk            283        0.08009        0.28300        0.30474        0.00350        0.20634        0.00049        0.87398        0.01597     1858.84618      166.91635     1873.00000    1.37045e+03    6.64184e+03    2.29272e-05    7.81921e-06    2.64305e-05    9.01397e-06    1.96976e-05    6.71776e-06    3.00151e-05    1.02365e-05    1.69767e-05    5.78980e-06    2.41493e-05    8.23600e-06    0.00000e+00    2.12753e+03    1.15424e+03    3.45531e+02    8.67221e+01    6.30780e+01    4.59911e+02
  mc.p5.hnu.284.nodk            284        0.08066        0.28400        0.30494        0.00330        0.19951        0.00048        0.87815        0.01604     1779.49236      171.77844     1808.00000    1.45611e+03    7.29847e+03    2.43603e-05    8.31336e-06    2.78986e-05    9.52088e-06    2.10807e-05    7.19417e-06    3.14370e-05    1.07284e-05    1.82928e-05    6.24274e-06    2.68034e-05    9.14712e-06    0.00000e+00    1.94976e+03    1.05645e+03    3.16659e+02    7.94758e+01    7.03741e+01    4.95051e+02
  mc.p5.hnu.285.nodk            285        0.08123        0.28500        0.30565        0.00330        0.20083        0.00048        0.87448        0.01620     1780.23522      170.35393     1846.00000    1.43651e+03    7.15298e+03    2.40324e-05    8.20752e-06    2.75479e-05    9.40812e-06    2.07735e-05    7.09452e-06    3.10632e-05    1.06086e-05    1.79462e-05    6.12896e-06    2.95566e-05    1.00941e-05    0.00000e+00    1.77812e+03    1.08704e+03    3.16924e+02    7.95422e+01    6.75393e+01    5.00477e+02
  mc.p5.hnu.286.nodk            286        0.08180        0.28600        0.30578        0.00330        0.20159        0.00048        0.87421        0.01623     1770.78021      164.39251     1844.00000    1.38100e+03    6.85059e+03    2.31038e-05    7.89683e-06    2.66063e-05    9.09400e-06    1.98720e-05    6.79221e-06    3.01089e-05    1.02912e-05    1.71453e-05    5.86022e-06    2.92749e-05    1.00061e-05    0.00000e+00    1.64864e+03    1.08038e+03    3.13566e+02    7.86995e+01    6.64762e+01    5.09282e+02
  mc.p5.hnu.287.nodk            287        0.08237        0.28700        0.30588        0.00330        0.20236        0.00048        0.88470        0.01567     1811.17076      166.41681     1846.00000    1.39566e+03    6.89693e+03    2.33490e-05    7.98788e-06    2.68381e-05    9.18154e-06    2.00484e-05    6.85873e-06    3.04102e-05    1.04036e-05    1.73279e-05    5.92800e-06    2.62566e-05    8.98260e-06    0.00000e+00    1.72471e+03    1.02905e+03    3.28034e+02    8.23307e+01    7.26049e+01    5.36795e+02
