             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff       trig_err             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_br          ul_u2    high1_ul_br    high1_ul_u2     low1_ul_br     low1_ul_u2    high2_ul_br    high2_ul_u2     low2_ul_br     low2_ul_u2       dt_ul_br       dt_ul_u2       dt_ll_u2       err_scat       err_trig        err_muv       err_flux     err_hscale       err_hval
  mc.p5.hnu.283.nodk            283        0.08009        0.28300        0.30474        0.00350        0.20634        0.00049        0.87398        0.01597     1858.84618       66.88236     1873.00000    6.31519e+02    3.06064e+03    1.05651e-05    3.60319e-06    1.40877e-05    4.80454e-06    7.62515e-06    2.60052e-06    1.76923e-05    6.03386e-06    5.65901e-06    1.92998e-06    1.17938e-05    4.02222e-06    0.00000e+00    2.12753e+03    1.15424e+03    3.45531e+02    8.67221e+01    6.30780e+01    4.59911e+02
  mc.p5.hnu.284.nodk            284        0.08066        0.28400        0.30494        0.00330        0.19951        0.00048        0.87815        0.01604     1779.49236       64.98592     1808.00000    6.37628e+02    3.19600e+03    1.06673e-05    3.64042e-06    1.42269e-05    4.85517e-06    7.68959e-06    2.62421e-06    1.77864e-05    6.06991e-06    5.70016e-06    1.94528e-06    1.31251e-05    4.47918e-06    0.00000e+00    1.94976e+03    1.05645e+03    3.16659e+02    7.94758e+01    7.03741e+01    4.95051e+02
  mc.p5.hnu.285.nodk            285        0.08123        0.28500        0.30565        0.00330        0.20083        0.00048        0.87448        0.01620     1780.23522       63.88702     1846.00000    6.27275e+02    3.12346e+03    1.04941e-05    3.58394e-06    1.40309e-05    4.79180e-06    7.53531e-06    2.57345e-06    1.75674e-05    5.99960e-06    5.53101e-06    1.88894e-06    1.60518e-05    5.48198e-06    0.00000e+00    1.77812e+03    1.08704e+03    3.16924e+02    7.95422e+01    6.75393e+01    5.00477e+02
  mc.p5.hnu.286.nodk            286        0.08180        0.28600        0.30578        0.00330        0.20159        0.00048        0.87421        0.01623     1770.78021       62.69228     1844.00000    6.13595e+02    3.04380e+03    1.02653e-05    3.50866e-06    1.37889e-05    4.71303e-06    7.33937e-06    2.50858e-06    1.73126e-05    5.91741e-06    5.40765e-06    1.84832e-06    1.64736e-05    5.63065e-06    0.00000e+00    1.64864e+03    1.08038e+03    3.13566e+02    7.86995e+01    6.64762e+01    5.09282e+02
  mc.p5.hnu.287.nodk            287        0.08237        0.28700        0.30588        0.00330        0.20236        0.00048        0.88470        0.01567     1811.17076       63.34618     1846.00000    6.20866e+02    3.06813e+03    1.03869e-05    3.55345e-06    1.38969e-05    4.75423e-06    7.39371e-06    2.52945e-06    1.74904e-05    5.98360e-06    5.46412e-06    1.86932e-06    1.33119e-05    4.55410e-06    0.00000e+00    1.72471e+03    1.02905e+03    3.28034e+02    8.23307e+01    7.26049e+01    5.36795e+02
  mc.p5.hnu.288.nodk            288        0.08294        0.28800        0.30735        0.00330        0.20421        0.00048        0.89727        0.01495     1839.29815       62.98266     1866.00000    6.13693e+02    3.00519e+03    1.02669e-05    3.51588e-06    1.38280e-05    4.73535e-06    7.30512e-06    2.50162e-06    1.73889e-05    5.95479e-06    5.36134e-06    1.83598e-06    1.25029e-05    4.28159e-06    0.00000e+00    1.77869e+03    9.39034e+02    3.38302e+02    8.49077e+01    6.69196e+01    5.32704e+02
  mc.p5.hnu.289.nodk            289        0.08352        0.28900        0.30742        0.00330        0.20476        0.00048        0.90060        0.01434     1847.19562       60.44505     1885.00000    5.96314e+02    2.91220e+03    9.97617e-06    3.42000e-06    1.35287e-05    4.63787e-06    7.03422e-06    2.41145e-06    1.70811e-05    5.85568e-06    5.12736e-06    1.75775e-06    1.31156e-05    4.49626e-06    0.00000e+00    1.56498e+03    8.64559e+02    3.41213e+02    8.56384e+01    5.90847e+01    5.26690e+02
  mc.p5.hnu.290.nodk            290        0.08410        0.29000        0.30851        0.00330        0.20647        0.00049        0.91159        0.01357     1873.01939       60.29025     1915.00000    5.92664e+02    2.87052e+03    9.91511e-06    3.40304e-06    1.34383e-05    4.61226e-06    6.93778e-06    2.38117e-06    1.69614e-05    5.82143e-06    5.06226e-06    1.73745e-06    1.33564e-05    4.58414e-06    0.00000e+00    1.60904e+03    7.77231e+02    3.50820e+02    8.80496e+01    5.76217e+01    5.31695e+02
  mc.p5.hnu.291.nodk            291        0.08468        0.29100        0.30837        0.00330        0.20664        0.00049        0.91194        0.01352     1863.44304       57.74885     1903.00000    5.73329e+02    2.77451e+03    9.59165e-06    3.29616e-06    1.31128e-05    4.50621e-06    6.69881e-06    2.30204e-06    1.66341e-05    5.71628e-06    4.84960e-06    1.66656e-06    1.28672e-05    4.42178e-06    0.00000e+00    1.38133e+03    7.62992e+02    3.47242e+02    8.71515e+01    4.92910e+01    5.16814e+02
  mc.p5.hnu.292.nodk            292        0.08526        0.29200        0.30951        0.00330        0.20860        0.00049        0.91650        0.01316     1885.22504       57.92266     1902.00000    5.71304e+02    2.73879e+03    9.55776e-06    3.28894e-06    1.30458e-05    4.48921e-06    6.63058e-06    2.28166e-06    1.66149e-05    5.71737e-06    4.80925e-06    1.65492e-06    1.09367e-05    3.76345e-06    0.00000e+00    1.41381e+03    7.33308e+02    3.55407e+02    8.92009e+01    4.73139e+01    5.30132e+02
  mc.p5.hnu.293.nodk            293        0.08585        0.29300        0.30996        0.00330        0.20982        0.00049        0.91396        0.01322     1887.77033       56.47380     1840.00000    5.56495e+02    2.65223e+03    9.31002e-06    3.20830e-06    1.28589e-05    4.43125e-06    6.47664e-06    2.23189e-06    1.63271e-05    5.62643e-06    4.64413e-06    1.60040e-06    6.27104e-06    2.16104e-06    0.00000e+00    1.23417e+03    7.45801e+02    3.56368e+02    8.94419e+01    4.78912e+01    5.34417e+02
  mc.p5.hnu.294.nodk            294        0.08644        0.29400        0.30972        0.00330        0.20990        0.00049        0.90600        0.01405     1878.37110       57.87939     1821.00000    5.66397e+02    2.69838e+03    9.47568e-06    3.27039e-06    1.29421e-05    4.46678e-06    6.62431e-06    2.28628e-06    1.64891e-05    5.69095e-06    4.76577e-06    1.64483e-06    5.93419e-06    2.04810e-06    0.00000e+00    1.22191e+03    8.48858e+02    3.52828e+02    8.85535e+01    5.39258e+01    5.75543e+02
  mc.p5.hnu.295.nodk            295        0.08702        0.29500        0.30936        0.00310        0.20222        0.00048        0.89522        0.01576     1750.48818       55.50822     1685.00000    5.64584e+02    2.79187e+03    9.44534e-06    3.26522e-06    1.29612e-05    4.48063e-06    6.56605e-06    2.26986e-06    1.64771e-05    5.69606e-06    4.73730e-06    1.63767e-06    5.45814e-06    1.88686e-06    0.00000e+00    9.07292e+02    9.49185e+02    3.06421e+02    7.69062e+01    5.52560e+01    5.77484e+02
