             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff       trig_err             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_br          ul_u2    high1_ul_br    high1_ul_u2     low1_ul_br     low1_ul_u2    high2_ul_br    high2_ul_u2     low2_ul_br     low2_ul_u2       dt_ul_br       dt_ul_u2       dt_ll_u2       err_scat       err_trig        err_muv       err_flux     err_hscale       err_hval
  mc.p5.hnu.284.nodk            284        0.08066        0.28400        0.30494        0.00330        0.19951        0.00048        0.87815        0.01604     1779.49236      101.74864     1808.00000    9.06298e+02    4.54266e+03    1.51621e-05    5.17434e-06    1.87104e-05    6.38526e-06    1.20270e-05    4.10443e-06    2.22588e-05    7.59621e-06    9.64233e-06    3.29061e-06    1.76121e-05    6.01044e-06    0.00000e+00    1.94976e+03    1.05645e+03    3.16659e+02    7.94758e+01    7.03741e+01    4.95051e+02
  mc.p5.hnu.285.nodk            285        0.08123        0.28500        0.30565        0.00330        0.20083        0.00048        0.87448        0.01620     1780.23522      100.63472     1846.00000    8.93259e+02    4.44791e+03    1.49440e-05    5.10365e-06    1.84692e-05    6.30758e-06    1.18280e-05    4.03949e-06    2.19947e-05    7.51159e-06    9.41600e-06    3.21574e-06    2.04837e-05    6.99556e-06    0.00000e+00    1.77812e+03    1.08704e+03    3.16924e+02    7.95422e+01    6.75393e+01    5.00477e+02
  mc.p5.hnu.286.nodk            286        0.08180        0.28600        0.30578        0.00330        0.20159        0.00048        0.87421        0.01623     1770.78021       97.61663     1844.00000    8.64177e+02    4.28684e+03    1.44574e-05    4.94153e-06    1.79700e-05    6.14212e-06    1.13738e-05    3.88755e-06    2.14827e-05    7.34275e-06    9.05443e-06    3.09479e-06    2.06463e-05    7.05688e-06    0.00000e+00    1.64864e+03    1.08038e+03    3.13566e+02    7.86995e+01    6.64762e+01    5.09282e+02
  mc.p5.hnu.287.nodk            287        0.08237        0.28700        0.30588        0.00330        0.20236        0.00048        0.88470        0.01567     1811.17076       98.76125     1846.00000    8.73991e+02    4.31900e+03    1.46216e-05    5.00218e-06    1.81206e-05    6.19920e-06    1.14697e-05    3.92387e-06    2.17029e-05    7.42473e-06    9.15378e-06    3.13158e-06    1.75374e-05    5.99969e-06    0.00000e+00    1.72471e+03    1.02905e+03    3.28034e+02    8.23307e+01    7.26049e+01    5.36795e+02
  mc.p5.hnu.288.nodk            288        0.08294        0.28800        0.30735        0.00330        0.20421        0.00048        0.89727        0.01495     1839.29815       96.93759     1866.00000    8.53065e+02    4.17737e+03    1.42715e-05    4.88725e-06    1.78218e-05    6.10304e-06    1.11565e-05    3.82050e-06    2.13721e-05    7.31880e-06    8.83208e-06    3.02452e-06    1.65008e-05    5.65066e-06    0.00000e+00    1.77869e+03    9.39034e+02    3.38302e+02    8.49077e+01    6.69196e+01    5.32704e+02
  mc.p5.hnu.289.nodk            289        0.08352        0.28900        0.30742        0.00330        0.20476        0.00048        0.90060        0.01434     1847.19562       93.42474     1885.00000    8.25895e+02    4.03340e+03    1.38170e-05    4.73670e-06    1.73586e-05    5.95081e-06    1.07204e-05    3.67515e-06    2.09000e-05    7.16488e-06    8.43265e-06    2.89085e-06    1.69468e-05    5.80964e-06    0.00000e+00    1.56498e+03    8.64559e+02    3.41213e+02    8.56384e+01    5.90847e+01    5.26690e+02
  mc.p5.hnu.290.nodk            290        0.08410        0.29000        0.30851        0.00330        0.20647        0.00049        0.91159        0.01357     1873.01939       94.47683     1915.00000    8.28557e+02    4.01305e+03    1.38615e-05    4.75752e-06    1.73736e-05    5.96290e-06    1.07212e-05    3.67969e-06    2.08855e-05    7.16828e-06    8.45501e-06    2.90190e-06    1.72919e-05    5.93487e-06    0.00000e+00    1.60904e+03    7.77231e+02    3.50820e+02    8.80496e+01    5.76217e+01    5.31695e+02
  mc.p5.hnu.291.nodk            291        0.08468        0.29100        0.30837        0.00330        0.20664        0.00049        0.91194        0.01352     1863.44304       88.86847     1903.00000    7.85110e+02    3.79937e+03    1.31347e-05    4.51371e-06    1.66452e-05    5.72009e-06    1.00878e-05    3.46666e-06    2.01556e-05    6.92644e-06    7.86796e-06    2.70381e-06    1.64002e-05    5.63592e-06    0.00000e+00    1.38133e+03    7.62992e+02    3.47242e+02    8.71515e+01    4.92910e+01    5.16814e+02
  mc.p5.hnu.292.nodk            292        0.08526        0.29200        0.30951        0.00330        0.20860        0.00049        0.91650        0.01316     1885.22504       88.40654     1902.00000    7.76416e+02    3.72208e+03    1.29892e-05    4.46975e-06    1.64669e-05    5.66646e-06    9.90783e-06    3.40940e-06    2.00254e-05    6.89098e-06    7.72544e-06    2.65841e-06    1.43642e-05    4.94287e-06    0.00000e+00    1.41381e+03    7.33308e+02    3.55407e+02    8.92009e+01    4.73139e+01    5.30132e+02
  mc.p5.hnu.293.nodk            293        0.08585        0.29300        0.30996        0.00330        0.20982        0.00049        0.91396        0.01322     1887.77033       86.82220     1840.00000    7.58272e+02    3.61389e+03    1.26857e-05    4.37158e-06    1.62238e-05    5.59082e-06    9.69911e-06    3.34238e-06    1.96815e-05    6.78238e-06    7.49535e-06    2.58295e-06    9.46574e-06    3.26196e-06    0.00000e+00    1.23417e+03    7.45801e+02    3.56368e+02    8.94419e+01    4.78912e+01    5.34417e+02
  mc.p5.hnu.294.nodk            294        0.08644        0.29400        0.30972        0.00330        0.20990        0.00049        0.90600        0.01405     1878.37110       91.38785     1821.00000    7.91614e+02    3.77134e+03    1.32435e-05    4.57079e-06    1.66987e-05    5.76331e-06    1.02328e-05    3.53170e-06    2.02343e-05    6.98357e-06    7.97809e-06    2.75352e-06    9.43240e-06    3.25545e-06    0.00000e+00    1.22191e+03    8.48858e+02    3.52828e+02    8.85535e+01    5.39258e+01    5.75543e+02
  mc.p5.hnu.295.nodk            295        0.08702        0.29500        0.30936        0.00310        0.20222        0.00048        0.89522        0.01576     1750.48818       89.93318     1685.00000    8.05163e+02    3.98153e+03    1.34702e-05    4.65658e-06    1.69737e-05    5.86774e-06    1.04181e-05    3.60150e-06    2.04773e-05    7.07891e-06    8.17338e-06    2.82550e-06    9.09889e-06    3.14545e-06    0.00000e+00    9.07292e+02    9.49185e+02    3.06421e+02    7.69062e+01    5.52560e+01    5.77484e+02
  mc.p5.hnu.299.nodk            299        0.08940        0.29900        0.31194        0.00310        0.20537        0.00048        0.89165        0.01589     1762.30306       86.90530     1760.00000    7.72343e+02    3.76068e+03    1.29211e-05    4.50023e-06    1.63718e-05    5.70205e-06    9.92321e-06    3.45611e-06    1.98224e-05    6.90386e-06    7.73865e-06    2.69526e-06    1.27580e-05    4.44345e-06    0.00000e+00    7.53990e+02    9.86940e+02    3.10571e+02    7.79478e+01    4.97061e+01    6.69751e+02
  mc.p5.hnu.300.nodk            300        0.09000        0.30000        0.31214        0.00310        0.20799        0.00049        0.88889        0.01576     1741.50114       79.25606     1752.00000    7.06884e+02    3.39864e+03    1.18260e-05    4.12754e-06    1.52355e-05    5.31753e-06    8.90171e-06    3.10690e-06    1.85638e-05    6.47919e-06    6.86934e-06    2.39755e-06    1.27190e-05    4.43920e-06    0.00000e+00    7.36295e+02    9.52924e+02    3.03283e+02    7.61185e+01    3.86179e+01    6.43578e+02
  mc.p5.hnu.301.nodk            301        0.09060        0.30100        0.31319        0.00310        0.20878        0.00049        0.89059        0.01569     1749.21829       78.30057     1734.00000    6.99274e+02    3.34928e+03    1.16987e-05    4.09216e-06    1.50956e-05    5.28041e-06    8.78317e-06    3.07232e-06    1.84116e-05    6.44030e-06    6.72242e-06    2.35148e-06    1.05491e-05    3.69003e-06    0.00000e+00    7.42835e+02    9.50208e+02    3.05976e+02    7.67946e+01    3.47137e+01    6.22396e+02
  mc.p5.hnu.302.nodk            302        0.09120        0.30200        0.31303        0.00310        0.20948        0.00049        0.88285        0.01575     1723.87061       68.72111     1751.00000    6.27421e+02    2.99512e+03    1.04966e-05    3.68020e-06    1.38853e-05    4.86830e-06    7.70837e-06    2.70262e-06    1.71934e-05    6.02814e-06    5.76043e-06    2.01966e-06    1.27557e-05    4.47224e-06    0.00000e+00    5.89595e+02    9.46164e+02    2.97173e+02    7.45851e+01    2.41396e+01    5.48279e+02
  mc.p5.hnu.304.nodk            304        0.09242        0.30400        0.31395        0.00310        0.21179        0.00049        0.88911        0.01496     1747.40229       73.19713     1773.00000    6.53797e+02    3.08701e+03    1.09378e-05    3.85395e-06    1.42881e-05    5.03443e-06    8.09072e-06    2.85076e-06    1.76384e-05    6.21488e-06    6.11927e-06    2.15613e-06    1.30118e-05    4.58472e-06    0.00000e+00    5.27418e+02    8.64599e+02    3.05341e+02    7.66353e+01    2.99919e+01    6.33071e+02
  mc.p5.hnu.305.nodk            305        0.09302        0.30500        0.31450        0.00310        0.21363        0.00049        0.88212        0.01527     1737.58650       70.79737     1780.00000    6.30903e+02    2.95322e+03    1.05548e-05    3.72883e-06    1.38771e-05    4.90251e-06    7.74821e-06    2.73730e-06    1.71201e-05    6.04822e-06    5.86294e-06    2.07127e-06    1.39562e-05    4.93046e-06    0.00000e+00    5.21509e+02    9.05029e+02    3.01921e+02    7.57767e+01    2.65184e+01    6.36597e+02
  mc.p5.hnu.306.nodk            306        0.09364        0.30600        0.31518        0.00310        0.21436        0.00049        0.88063        0.01532     1742.98033       75.43638     1798.00000    6.57983e+02    3.06953e+03    1.10079e-05    3.89958e-06    1.43170e-05    5.07185e-06    8.25394e-06    2.92399e-06    1.76263e-05    6.24420e-06    6.27397e-06    2.22258e-06    1.54201e-05    5.46264e-06    0.00000e+00    4.64450e+02    9.19261e+02    3.03798e+02    7.62479e+01    3.39549e+01    6.73540e+02
  mc.p5.hnu.307.nodk            307        0.09425        0.30700        0.31513        0.00290        0.20585        0.00048        0.88125        0.01580     1646.92015       76.37020     1668.00000    6.87538e+02    3.34004e+03    1.15023e-05    4.08641e-06    1.48662e-05    5.28149e-06    8.69091e-06    3.08761e-06    1.82302e-05    6.47663e-06    6.64678e-06    2.36139e-06    1.33072e-05    4.72763e-06    0.00000e+00    3.26888e+02    8.72323e+02    2.71235e+02    6.80750e+01    3.79834e+01    7.07035e+02
  mc.p5.hnu.308.nodk            308        0.09486        0.30800        0.31597        0.00290        0.20679        0.00049        0.87342        0.01632     1639.19599       71.53044     1665.00000    6.53909e+02    3.16220e+03    1.09397e-05    3.89812e-06    1.42085e-05    5.06288e-06    8.08822e-06    2.88205e-06    1.75589e-05    6.25671e-06    6.15370e-06    2.19273e-06    1.30644e-05    4.65518e-06    0.00000e+00    3.23829e+02    9.38427e+02    2.68696e+02    6.74380e+01    2.96052e+01    6.73651e+02
  mc.p5.hnu.309.nodk            309        0.09548        0.30900        0.31590        0.00290        0.20795        0.00049        0.88323        0.01586     1670.91819       78.87386     1665.00000    6.99192e+02    3.36238e+03    1.16973e-05    4.18096e-06    1.50264e-05    5.37090e-06    8.90303e-06    3.18221e-06    1.83557e-05    6.56087e-06    6.85091e-06    2.44872e-06    1.13007e-05    4.03919e-06    0.00000e+00    3.36484e+02    8.99865e+02    2.79197e+02    7.00734e+01    3.98532e+01    7.53676e+02
  mc.p5.hnu.310.nodk            310        0.09610        0.31000        0.31761        0.00290        0.21024        0.00049        0.90405        0.01467     1724.75136       85.03706     1678.00000    7.37659e+02    3.50870e+03    1.23408e-05    4.42515e-06    1.57122e-05    5.63404e-06    9.48896e-06    3.40253e-06    1.90033e-05    6.81417e-06    7.36591e-06    2.64125e-06    9.19690e-06    3.29781e-06    0.00000e+00    4.20318e+02    7.83010e+02    2.97477e+02    7.46613e+01    4.99966e+01    8.15900e+02
  mc.p5.hnu.311.nodk            311        0.09672        0.31100        0.31876        0.00290        0.21173        0.00049        0.90377        0.01454     1720.94998       84.92087     1663.00000    7.30559e+02    3.45046e+03    1.22221e-05    4.39717e-06    1.55696e-05    5.60152e-06    9.39476e-06    3.37998e-06    1.88376e-05    6.77725e-06    7.29142e-06    2.62326e-06    8.50771e-06    3.06085e-06    0.00000e+00    4.45215e+02    7.66194e+02    2.96167e+02    7.43326e+01    4.89552e+01    8.19299e+02
  mc.p5.hnu.312.nodk            312        0.09734        0.31200        0.31901        0.00290        0.21317        0.00049        0.89407        0.01522     1719.78994       85.17538     1707.00000    7.28080e+02    3.41550e+03    1.21806e-05    4.39740e-06    1.55055e-05    5.59775e-06    9.36834e-06    3.38212e-06    1.87513e-05    6.76954e-06    7.27408e-06    2.62606e-06    1.12717e-05    4.06927e-06    0.00000e+00    4.44615e+02    8.57561e+02    2.95768e+02    7.42324e+01    5.02404e+01    8.01903e+02
