             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff       trig_err             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_br          ul_u2    high1_ul_br    high1_ul_u2     low1_ul_br     low1_ul_u2    high2_ul_br    high2_ul_u2     low2_ul_br     low2_ul_u2       dt_ul_br       dt_ul_u2       dt_ll_u2       err_scat       err_trig        err_muv       err_flux     err_hscale       err_hval
  mc.p5.hnu.277.nodk            277        0.07673        0.27700        0.30185        0.00350        0.20136        0.00048        0.90395        0.01373     1891.24325       67.99335     1841.00000    6.59400e+02    3.27469e+03    1.10180e-05    3.74935e-06    1.46228e-05    4.97606e-06    7.92841e-06    2.69799e-06    1.83113e-05    6.23124e-06    5.90639e-06    2.00991e-06    7.59348e-06    2.58402e-06    0.00000e+00    2.90616e+03    8.25151e+02    3.57680e+02    8.97684e+01    5.60275e+01    3.88313e+02
  mc.p5.hnu.278.nodk            278        0.07728        0.27800        0.30261        0.00350        0.20207        0.00048        0.89017        0.01469     1874.82278       68.71486     1863.00000    6.58327e+02    3.25799e+03    1.10000e-05    3.74388e-06    1.46755e-05    4.99481e-06    7.99022e-06    2.71948e-06    1.82674e-05    6.21732e-06    5.95931e-06    2.02826e-06    1.01243e-05    3.44581e-06    0.00000e+00    2.85591e+03    9.56839e+02    3.51496e+02    8.82164e+01    6.14155e+01    4.07854e+02
  mc.p5.hnu.279.nodk            279        0.07784        0.27900        0.30385        0.00350        0.20355        0.00048        0.89683        0.01454     1917.34771       70.07716     1856.00000    6.67280e+02    3.27822e+03    1.11497e-05    3.79574e-06    1.47977e-05    5.03767e-06    8.08355e-06    2.75192e-06    1.83630e-05    6.25140e-06    6.01862e-06    2.04895e-06    7.18260e-06    2.44521e-06    0.00000e+00    2.98694e+03    9.66516e+02    3.67622e+02    9.22636e+01    6.86428e+01    4.28829e+02
  mc.p5.hnu.280.nodk            280        0.07840        0.28000        0.30338        0.00350        0.20428        0.00048        0.88889        0.01499     1914.33122       68.68902     1860.00000    6.55415e+02    3.20843e+03    1.09514e-05    3.72946e-06    1.45870e-05    4.96756e-06    7.90342e-06    2.69148e-06    1.81399e-05    6.17749e-06    5.86368e-06    1.99686e-06    7.36165e-06    2.50698e-06    0.00000e+00    2.69697e+03    1.04207e+03    3.66466e+02    9.19735e+01    7.49196e+01    4.45780e+02
  mc.p5.hnu.281.nodk            281        0.07896        0.28100        0.30366        0.00350        0.20517        0.00048        0.88845        0.01490     1905.04209       68.19565     1884.00000    6.50212e+02    3.16918e+03    1.08644e-05    3.70135e-06    1.44024e-05    4.90666e-06    7.82536e-06    2.66598e-06    1.80223e-05    6.13994e-06    5.79606e-06    1.97463e-06    9.27187e-06    3.15878e-06    0.00000e+00    2.67086e+03    1.02116e+03    3.62919e+02    9.10831e+01    7.15742e+01    4.33044e+02
  mc.p5.hnu.282.nodk            282        0.07952        0.28200        0.30453        0.00330        0.19798        0.00048        0.89056        0.01553     1803.92097       62.07309     1772.00000    6.21674e+02    3.14012e+03    1.03876e-05    3.54063e-06    1.40565e-05    4.79117e-06    7.41807e-06    2.52846e-06    1.76402e-05    6.01268e-06    5.42446e-06    1.84893e-06    8.08617e-06    2.75618e-06    0.00000e+00    2.00366e+03    9.90033e+02    3.25413e+02    8.16702e+01    5.86567e+01    3.93639e+02
  mc.p5.hnu.283.nodk            283        0.08009        0.28300        0.30474        0.00350        0.20634        0.00049        0.87475        0.01588     1862.21613       64.56346     1888.00000    6.19374e+02    3.00178e+03    1.03492e-05    3.52954e-06    1.38685e-05    4.72978e-06    7.40939e-06    2.52694e-06    1.73877e-05    5.92998e-06    5.42723e-06    1.85093e-06    1.24772e-05    4.25527e-06    0.00000e+00    2.13525e+03    1.14339e+03    3.46785e+02    8.70340e+01    5.80905e+01    3.97893e+02
  mc.p5.hnu.284.nodk            284        0.08066        0.28400        0.30494        0.00330        0.19951        0.00048        0.87841        0.01601     1769.13292       61.17327     1819.00000    6.12858e+02    3.07184e+03    1.02403e-05    3.49468e-06    1.37972e-05    4.70853e-06    7.27902e-06    2.48409e-06    1.73539e-05    5.92233e-06    5.33744e-06    1.82149e-06    1.44747e-05    4.93973e-06    0.00000e+00    1.92712e+03    1.03950e+03    3.12983e+02    7.85506e+01    4.31113e+01    3.40904e+02
  mc.p5.hnu.285.nodk            285        0.08123        0.28500        0.30565        0.00330        0.20083        0.00048        0.87526        0.01610     1783.11556       61.19337     1855.00000    6.09836e+02    3.03663e+03    1.01898e-05    3.48001e-06    1.37233e-05    4.68675e-06    7.19017e-06    2.45558e-06    1.72565e-05    5.89340e-06    5.27937e-06    1.80300e-06    1.62470e-05    5.54864e-06    0.00000e+00    1.78388e+03    1.07599e+03    3.17950e+02    7.97972e+01    6.36284e+01    4.23379e+02
  mc.p5.hnu.286.nodk            286        0.08180        0.28600        0.30578        0.00330        0.20159        0.00048        0.87474        0.01616     1797.44515       61.20031     1853.00000    6.06722e+02    3.00971e+03    1.01378e-05    3.46508e-06    1.36577e-05    4.66818e-06    7.21402e-06    2.46574e-06    1.72613e-05    5.89990e-06    5.25920e-06    1.79759e-06    1.48310e-05    5.06922e-06    0.00000e+00    1.69867e+03    1.10319e+03    3.23081e+02    8.10849e+01    7.56234e+01    4.63830e+02
