             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff   raw_trig_err raw_trig_sqerr             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_mu          ul_br          ul_u2         ses_br         ses_u2     comb_sigma        dt_pull    high1_ul_mu    high1_ul_br    high1_ul_u2     low1_ul_mu     low1_ul_br     low1_ul_u2    high2_ul_mu    high2_ul_br    high2_ul_u2     low2_ul_mu     low2_ul_br     low2_ul_u2    high3_ul_mu    high3_ul_br    high3_ul_u2     low3_ul_mu     low3_ul_br     low3_ul_u2       dt_ul_mu       dt_ul_br       dt_ul_u2       dt_ll_mu       dt_ll_br       dt_ll_u2       err_trig       err_scat        err_muv       err_flux     err_hscale       err_hval       err_k3pi     err_hshape
  mc.p5.hnu.270.nodk            270        0.07290        0.27000        0.29322        0.00390        0.20910        0.00049        0.90239        0.01366      947.99451     2034.29056       93.63638     1971.00000    1.70834e+02    8.16996e+02    1.70834e+02    1.36681e-05    4.65569e-06    8.00083e-08    2.72527e-08    1.03933e+02   -6.08956e-01    2.75662e+02    2.20552e-05    7.51254e-06    9.54530e+01    7.63703e-06    2.60135e-06    3.80486e+02    3.04420e-05    1.03693e-05    6.03374e+01    4.82749e-06    1.64436e-06    4.85309e+02    3.88287e-05    1.32260e-05    4.27566e+01    3.42088e-06    1.16523e-06    1.18716e+02    9.49825e-06    3.23533e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.26865e+03    5.41067e+03    4.13834e+02    1.03458e+02    2.74026e+02    7.01616e+02    4.87829e-03    5.95515e+02
  mc.p5.hnu.271.nodk            271        0.07344        0.27100        0.29251        0.00390        0.20884        0.00049        0.91187        0.01292      883.43870     2097.04149       95.06800     1955.00000    1.73700e+02    8.31746e+02    1.73700e+02    1.39149e-05    4.73802e-06    8.01090e-08    2.72771e-08    1.05522e+02   -1.34608e+00    2.79523e+02    2.23923e-05    7.62457e-06    9.68452e+01    7.75817e-06    2.64166e-06    3.86353e+02    3.09503e-05    1.05386e-05    6.11439e+01    4.89818e-06    1.66783e-06    4.92168e+02    3.94271e-05    1.34249e-05    4.34288e+01    3.47904e-06    1.18461e-06    8.15839e+01    6.53560e-06    2.22537e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.15465e+03    5.28778e+03    4.39758e+02    1.09940e+02    3.83488e+02    8.19917e+02    1.38240e-02    8.42376e+02
  mc.p5.hnu.272.nodk            272        0.07398        0.27200        0.29304        0.00390        0.21033        0.00049        0.90796        0.01305      919.22103     2109.68181       97.62239     1963.00000    1.76940e+02    8.41239e+02    1.76940e+02    1.40737e-05    4.79071e-06    7.95393e-08    2.70753e-08    1.07888e+02   -1.35958e+00    2.85767e+02    2.27297e-05    7.73722e-06    9.88932e+01    7.86590e-06    2.67756e-06    3.94593e+02    3.13857e-05    1.06837e-05    6.25508e+01    4.97524e-06    1.69358e-06    5.03414e+02    4.00412e-05    1.36301e-05    4.44732e+01    3.53737e-06    1.20413e-06    8.28837e+01    6.59251e-06    2.24410e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.22610e+03    5.35172e+03    4.45076e+02    1.11269e+02    4.98028e+02    9.03265e+02    1.85959e-02    9.94648e+02
  mc.p5.hnu.273.nodk            273        0.07453        0.27300        0.29447        0.00390        0.21142        0.00050        0.90121        0.01329      970.75145     2112.96070       97.26682     1981.00000    1.76157e+02    8.33193e+02    1.76157e+02    1.39391e-05    4.74387e-06    7.91287e-08    2.69297e-08    1.07582e+02   -1.22661e+00    2.84985e+02    2.25505e-05    7.67458e-06    9.88115e+01    7.81883e-06    2.66097e-06    3.93814e+02    3.11620e-05    1.06053e-05    6.23965e+01    4.93735e-06    1.68032e-06    5.01629e+02    3.96933e-05    1.35088e-05    4.43212e+01    3.50708e-06    1.19356e-06    8.81655e+01    6.97642e-06    2.37427e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.31932e+03    4.74302e+03    4.46460e+02    1.11615e+02    6.27079e+02    1.00106e+03    3.43665e-02    1.21223e+03
  mc.p5.hnu.274.nodk            274        0.07508        0.27400        0.29416        0.00370        0.20544        0.00049        0.90092        0.01372      949.83123     2024.29083       93.82583     1901.00000    1.71034e+02    8.32512e+02    1.71034e+02    1.39277e-05    4.73933e-06    8.14322e-08    2.77098e-08    1.04056e+02   -1.18485e+00    2.75861e+02    2.24640e-05    7.64407e-06    9.56242e+01    7.78690e-06    2.64973e-06    3.80684e+02    3.10000e-05    1.05487e-05    6.04642e+01    4.92374e-06    1.67545e-06    4.85506e+02    3.95359e-05    1.34533e-05    4.28520e+01    3.48953e-06    1.18742e-06    8.70535e+01    7.08896e-06    2.41224e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.28106e+03    4.35330e+03    4.09775e+02    1.02444e+02    5.65307e+02    9.49342e+02    3.31102e-02    1.14203e+03
  mc.p5.hnu.275.nodk            275        0.07563        0.27500        0.29460        0.00370        0.20561        0.00048        0.88830        0.01415     1045.17479     2029.65730       93.43507     1930.00000    1.70130e+02    8.27439e+02    1.70130e+02    1.38428e-05    4.71015e-06    8.13660e-08    2.76855e-08    1.03729e+02   -9.60744e-01    2.74959e+02    2.23723e-05    7.61239e-06    9.49895e+01    7.72892e-06    2.62984e-06    3.79785e+02    3.09016e-05    1.05145e-05    6.02695e+01    4.90389e-06    1.66859e-06    4.83602e+02    3.93488e-05    1.33888e-05    4.26739e+01    3.47220e-06    1.18145e-06    9.74454e+01    7.92874e-06    2.69783e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.45747e+03    3.73215e+03    4.11951e+02    1.02988e+02    6.81491e+02    1.01137e+03    4.86068e-02    1.33264e+03
  mc.p5.hnu.276.nodk            276        0.07618        0.27600        0.29508        0.00370        0.20652        0.00049        0.89821        0.01367      981.81874     2058.78713       93.16582     1930.00000    1.69836e+02    8.22351e+02    1.69836e+02    1.37577e-05    4.68125e-06    8.10060e-08    2.75634e-08    1.03627e+02   -1.24279e+00    2.74665e+02    2.22495e-05    7.57068e-06    9.52699e+01    7.71744e-06    2.62596e-06    3.79491e+02    3.07410e-05    1.04601e-05    6.01369e+01    4.87145e-06    1.65758e-06    4.83309e+02    3.91509e-05    1.33216e-05    4.25813e+01    3.44934e-06    1.17368e-06    8.42360e+01    6.82362e-06    2.32183e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.32447e+03    3.84005e+03    4.23860e+02    1.05965e+02    6.53799e+02    1.00567e+03    7.34784e-02    1.32599e+03
  mc.p5.hnu.277.nodk            277        0.07673        0.27700        0.29503        0.00370        0.20767        0.00049        0.90108        0.01356      982.30711     2082.44169       94.24775     1931.00000    1.71969e+02    8.28072e+02    1.71969e+02    1.38534e-05    4.71424e-06    8.05578e-08    2.74134e-08    1.04714e+02   -1.44624e+00    2.77798e+02    2.23788e-05    7.61537e-06    9.59988e+01    7.73345e-06    2.63165e-06    3.82616e+02    3.08227e-05    1.04888e-05    6.08945e+01    4.90553e-06    1.66932e-06    4.88440e+02    3.93477e-05    1.33898e-05    4.31120e+01    3.47301e-06    1.18184e-06    7.72196e+01    6.22065e-06    2.11685e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.31480e+03    3.92879e+03    4.33656e+02    1.08414e+02    6.83456e+02    1.02041e+03    8.30097e-02    1.39303e+03
  mc.p5.hnu.278.nodk            278        0.07728        0.27800        0.29551        0.00370        0.20825        0.00049        0.88727        0.01439     1093.95483     2038.95422       90.01826     1940.00000    1.64876e+02    7.91740e+02    1.64876e+02    1.32456e-05    4.50816e-06    8.03366e-08    2.73427e-08    1.00709e+02   -9.82579e-01    2.66703e+02    2.14260e-05    7.29237e-06    9.25384e+01    7.43422e-06    2.53025e-06    3.68529e+02    2.96063e-05    1.00766e-05    5.84263e+01    4.69377e-06    1.59753e-06    4.70350e+02    3.77863e-05    1.28606e-05    4.13726e+01    3.32373e-06    1.13124e-06    9.35154e+01    7.51271e-06    2.55696e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.48567e+03    3.37784e+03    4.15733e+02    1.03933e+02    5.77027e+02    9.52647e+02    1.00004e-01    1.19033e+03
  mc.p5.hnu.279.nodk            279        0.07784        0.27900        0.29688        0.00370        0.20953        0.00049        0.89366        0.01425     1077.16133     2058.55365       89.66377     1930.00000    1.64919e+02    7.87090e+02    1.64919e+02    1.31678e-05    4.48279e-06    7.98439e-08    2.71817e-08    1.00490e+02   -1.27927e+00    2.66751e+02    2.12984e-05    7.25073e-06    9.24266e+01    7.37970e-06    2.51231e-06    3.67570e+02    2.93482e-05    9.99117e-06    5.82920e+01    4.65426e-06    1.58447e-06    4.69393e+02    3.74782e-05    1.27589e-05    4.13759e+01    3.30362e-06    1.12467e-06    8.02296e+01    6.40584e-06    2.18078e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.42700e+03    3.44309e+03    4.23764e+02    1.05941e+02    5.46601e+02    9.62558e+02    1.73757e-01    1.13047e+03
  mc.p5.hnu.280.nodk            280        0.07840        0.28000        0.29642        0.00370        0.21031        0.00049        0.88996        0.01471     1115.16471     2019.84804       82.53378     1944.00000    1.53935e+02    7.31943e+02    1.53935e+02    1.22452e-05    4.17007e-06    7.95480e-08    2.70898e-08    9.39770e+01   -8.07092e-01    2.48760e+02    1.97884e-05    6.73886e-06    8.60388e+01    6.84421e-06    2.33077e-06    3.43584e+02    2.73314e-05    9.30761e-06    5.44096e+01    4.32818e-06    1.47394e-06    4.38403e+02    3.48741e-05    1.18762e-05    3.85605e+01    3.06741e-06    1.04459e-06    9.59698e+01    7.63421e-06    2.59980e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.43808e+03    3.00248e+03    4.07979e+02    1.01995e+02    3.42667e+02    7.68041e+02    4.27435e-01    7.50153e+02
