             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff   raw_trig_err raw_trig_sqerr             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_mu          ul_br          ul_u2         ses_br         ses_u2     comb_sigma        dt_pull    high1_ul_mu    high1_ul_br    high1_ul_u2     low1_ul_mu     low1_ul_br     low1_ul_u2    high2_ul_mu    high2_ul_br    high2_ul_u2     low2_ul_mu     low2_ul_br     low2_ul_u2    high3_ul_mu    high3_ul_br    high3_ul_u2     low3_ul_mu     low3_ul_br     low3_ul_u2       dt_ul_mu       dt_ul_br       dt_ul_u2       dt_ll_mu       dt_ll_br       dt_ll_u2       err_trig       err_scat        err_muv       err_flux     err_hscale       err_hval       err_k3pi     err_hshape        err_km3
  mc.p5.hnu.270.nodk            270        0.07290        0.27000        0.29322        0.00390        0.20910        0.00049        0.89900        0.02500     3176.24128     2026.63914      106.12965     1971.00000    1.89120e+02    9.04447e+02    1.89120e+02    1.51312e-05    5.15404e-06    8.00083e-08    2.72527e-08    1.15283e+02   -4.82631e-01    3.04945e+02    2.43981e-05    8.31059e-06    1.05914e+02    8.47400e-06    2.88645e-06    4.21774e+02    3.37454e-05    1.14945e-05    6.70659e+01    5.36583e-06    1.82773e-06    5.37592e+02    4.30118e-05    1.46508e-05    4.74568e+01    3.79693e-06    1.29333e-06    1.41742e+02    1.13405e-05    3.86285e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.60432e+03    5.37005e+03    4.10727e+02    1.02682e+02    2.74026e+02    7.01616e+02    5.42033e-04    5.95515e+02    2.04569e+02
  mc.p5.hnu.271.nodk            271        0.07344        0.27100        0.29251        0.00390        0.20884        0.00049        0.89900        0.02500     3305.42820     2067.44301      108.05895     1955.00000    1.92527e+02    9.21899e+02    1.92527e+02    1.54231e-05    5.25158e-06    8.01090e-08    2.72771e-08    1.17236e+02   -9.59120e-01    3.10353e+02    2.48620e-05    8.46552e-06    1.07790e+02    8.63496e-06    2.94021e-06    4.28175e+02    3.43006e-05    1.16794e-05    6.80093e+01    5.44815e-06    1.85510e-06    5.47000e+02    4.38196e-05    1.49206e-05    4.82839e+01    3.86797e-06    1.31705e-06    1.10252e+02    8.83219e-06    3.00736e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.74887e+03    5.13957e+03    4.27432e+02    1.06858e+02    3.83488e+02    8.19917e+02    1.53600e-03    8.42376e+02    2.08227e+02
  mc.p5.hnu.272.nodk            272        0.07398        0.27200        0.29304        0.00390        0.21033        0.00049        0.89900        0.02500     3374.24102     2088.85230      110.61991     1963.00000    1.96150e+02    9.32568e+02    1.96150e+02    1.56016e-05    5.31081e-06    7.95393e-08    2.70753e-08    1.19690e+02   -1.05149e+00    3.16977e+02    2.52121e-05    8.58223e-06    1.10077e+02    8.75545e-06    2.98037e-06    4.37802e+02    3.48225e-05    1.18536e-05    6.95646e+01    5.53312e-06    1.88348e-06    5.57618e+02    4.43525e-05    1.50977e-05    4.93065e+01    3.92181e-06    1.33499e-06    1.07229e+02    8.52890e-06    2.90325e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.83531e+03    5.24657e+03    4.36330e+02    1.09083e+02    4.98028e+02    9.03265e+02    2.06621e-03    9.94648e+02    2.13537e+02
  mc.p5.hnu.273.nodk            273        0.07453        0.27300        0.29447        0.00390        0.21142        0.00050        0.89900        0.02500     3435.64115     2107.77176      110.58773     1981.00000    1.96311e+02    9.28519e+02    1.96311e+02    1.55339e-05    5.28662e-06    7.91287e-08    2.69297e-08    1.19739e+02   -1.05873e+00    3.17139e+02    2.50948e-05    8.54049e-06    1.10187e+02    8.71894e-06    2.96730e-06    4.37965e+02    3.46556e-05    1.17943e-05    6.96361e+01    5.51022e-06    1.87528e-06    5.57780e+02    4.41364e-05    1.50209e-05    4.93571e+01    3.90557e-06    1.32918e-06    1.06872e+02    8.45664e-06    2.87803e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.89672e+03    4.71976e+03    4.44270e+02    1.11068e+02    6.27079e+02    1.00106e+03    3.81850e-03    1.21223e+03    2.17448e+02
  mc.p5.hnu.274.nodk            274        0.07508        0.27400        0.29416        0.00370        0.20544        0.00049        0.89900        0.02500     3155.41042     2019.98252      106.23338     1901.00000    1.88886e+02    9.19404e+02    1.88886e+02    1.53814e-05    5.23399e-06    8.14322e-08    2.77098e-08    1.15350e+02   -1.03150e+00    3.05715e+02    2.48950e-05    8.47130e-06    1.05841e+02    8.61890e-06    2.93284e-06    4.21536e+02    3.43266e-05    1.16807e-05    6.70562e+01    5.46054e-06    1.85812e-06    5.38360e+02    4.38399e-05    1.49179e-05    4.74663e+01    3.86528e-06    1.31528e-06    1.04408e+02    8.50214e-06    2.89311e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.58262e+03    4.33479e+03    4.08033e+02    1.02008e+02    5.65307e+02    9.49342e+02    3.67891e-03    1.14203e+03    2.01407e+02
  mc.p5.hnu.275.nodk            275        0.07563        0.27500        0.29460        0.00370        0.20561        0.00048        0.89900        0.02500     3262.93335     2054.11042      106.18842     1930.00000    1.89939e+02    9.23777e+02    1.89939e+02    1.54546e-05    5.25855e-06    8.13660e-08    2.76855e-08    1.15456e+02   -1.07496e+00    3.05762e+02    2.48787e-05    8.46519e-06    1.05932e+02    8.61927e-06    2.93278e-06    4.22590e+02    3.43845e-05    1.16996e-05    6.71414e+01    5.46303e-06    1.85884e-06    5.38407e+02    4.38080e-05    1.49061e-05    4.75378e+01    3.86797e-06    1.31611e-06    1.02175e+02    8.31355e-06    2.82876e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.69391e+03    3.82262e+03    4.21937e+02    1.05484e+02    6.81491e+02    1.01137e+03    5.40076e-03    1.33264e+03    2.06517e+02
  mc.p5.hnu.276.nodk            276        0.07618        0.27600        0.29508        0.00370        0.20652        0.00049        0.89900        0.02500     3283.54515     2060.58806      106.24252     1930.00000    1.89586e+02    9.17982e+02    1.89586e+02    1.53576e-05    5.22563e-06    8.10060e-08    2.75634e-08    1.15534e+02   -1.13030e+00    3.06416e+02    2.48215e-05    8.44586e-06    1.06294e+02    8.61049e-06    2.92984e-06    4.22236e+02    3.42036e-05    1.16382e-05    6.71138e+01    5.43662e-06    1.84988e-06    5.39059e+02    4.36670e-05    1.48583e-05    4.75409e+01    3.85110e-06    1.31039e-06    9.93859e+01    8.05086e-06    2.73941e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.71255e+03    3.84677e+03    4.24602e+02    1.06151e+02    6.53799e+02    1.00567e+03    8.16427e-03    1.32599e+03    2.11942e+02
  mc.p5.hnu.277.nodk            277        0.07673        0.27700        0.29503        0.00370        0.20767        0.00049        0.89900        0.02500     3338.10387     2077.63669      107.42552     1931.00000    1.91446e+02    9.21862e+02    1.91446e+02    1.54225e-05    5.24819e-06    8.05578e-08    2.74134e-08    1.16696e+02   -1.25657e+00    3.09275e+02    2.49145e-05    8.47827e-06    1.06939e+02    8.61476e-06    2.93155e-06    4.27101e+02    3.44063e-05    1.17083e-05    6.78597e+01    5.46663e-06    1.86026e-06    5.43916e+02    4.38167e-05    1.49106e-05    4.80822e+01    3.87340e-06    1.31809e-06    9.42519e+01    7.59273e-06    2.58376e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.77570e+03    3.91068e+03    4.31657e+02    1.07914e+02    6.83456e+02    1.02041e+03    9.22330e-03    1.39303e+03    2.17380e+02
  mc.p5.hnu.278.nodk            278        0.07728        0.27800        0.29551        0.00370        0.20825        0.00049        0.89900        0.02500     3300.50732     2065.90351      103.20162     1940.00000    1.84726e+02    8.87060e+02    1.84726e+02    1.48403e-05    5.05091e-06    8.03366e-08    2.73427e-08    1.12767e+02   -1.11649e+00    2.98554e+02    2.39848e-05    8.16325e-06    1.03704e+02    8.33126e-06    2.83556e-06    4.12379e+02    3.31291e-05    1.12755e-05    6.55274e+01    5.26424e-06    1.79169e-06    5.26203e+02    4.22733e-05    1.43878e-05    4.64330e+01    3.73026e-06    1.26960e-06    9.76853e+01    7.84770e-06    2.67098e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.70564e+03    3.46772e+03    4.26796e+02    1.06699e+02    5.77027e+02    9.52647e+02    1.11116e-02    1.19033e+03    2.23700e+02
  mc.p5.hnu.279.nodk            279        0.07784        0.27900        0.29688        0.00370        0.20953        0.00049        0.89900        0.02500     3316.36978     2070.86199      102.99932     1930.00000    1.84500e+02    8.80541e+02    1.84500e+02    1.47312e-05    5.01503e-06    7.98439e-08    2.71817e-08    1.12604e+02   -1.25095e+00    2.98329e+02    2.38198e-05    8.10909e-06    1.03496e+02    8.26350e-06    2.81319e-06    4.12156e+02    3.29081e-05    1.12031e-05    6.53671e+01    5.21917e-06    1.77679e-06    5.24974e+02    4.19160e-05    1.42697e-05    4.64337e+01    3.70745e-06    1.26215e-06    9.11877e+01    7.28079e-06    2.47864e-06    0.00000e+00    0.00000e+00    0.00000e+00    3.72024e+03    3.48439e+03    4.28847e+02    1.07212e+02    5.46601e+02    9.62558e+02    1.93063e-02    1.13047e+03    2.28531e+02
