             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff   raw_trig_err raw_trig_sqerr             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_mu          ul_br          ul_u2         ses_br         ses_u2     comb_sigma        dt_pull    high1_ul_mu    high1_ul_br    high1_ul_u2     low1_ul_mu     low1_ul_br     low1_ul_u2    high2_ul_mu    high2_ul_br    high2_ul_u2     low2_ul_mu     low2_ul_br     low2_ul_u2    high3_ul_mu    high3_ul_br    high3_ul_u2     low3_ul_mu     low3_ul_br     low3_ul_u2       dt_ul_mu       dt_ul_br       dt_ul_u2       dt_ll_mu       dt_ll_br       dt_ll_u2       err_trig       err_scat        err_muv       err_flux     err_hscale       err_hval       err_k3pi     err_hshape        err_km3
  mc.p5.hnu.270.nodk            270        0.07290        0.27000        0.29322        0.00390        0.20910        0.00049        0.90239        0.01366      947.99451     2034.29056       94.75841     1971.00000    1.72495e+02    8.24941e+02    1.72495e+02    1.38010e-05    4.70096e-06    8.00083e-08    2.72527e-08    1.04945e+02   -6.03083e-01    2.78323e+02    2.22681e-05    7.58506e-06    9.63910e+01    7.71208e-06    2.62692e-06    3.84150e+02    3.07352e-05    1.04691e-05    6.09352e+01    4.87532e-06    1.66065e-06    4.89970e+02    3.92016e-05    1.33530e-05    4.31829e+01    3.45498e-06    1.17685e-06    1.20278e+02    9.62324e-06    3.27791e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.27547e+03    5.41067e+03    4.13834e+02    1.03458e+02    2.74026e+02    7.01616e+02    5.42033e-04    5.95515e+02    2.04569e+02
  mc.p5.hnu.271.nodk            271        0.07344        0.27100        0.29251        0.00390        0.20884        0.00049        0.91187        0.01292      883.43870     2097.04149       96.18624     1955.00000    1.75355e+02    8.39675e+02    1.75355e+02    1.40475e-05    4.78319e-06    8.01090e-08    2.72771e-08    1.06531e+02   -1.33334e+00    2.82178e+02    2.26050e-05    7.69700e-06    9.77784e+01    7.83293e-06    2.66711e-06    3.90008e+02    3.12431e-05    1.06383e-05    6.17381e+01    4.94578e-06    1.68404e-06    4.96823e+02    3.98000e-05    1.35519e-05    4.38524e+01    3.51297e-06    1.19617e-06    8.28708e+01    6.63870e-06    2.26048e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.16030e+03    5.28778e+03    4.39758e+02    1.09940e+02    3.83488e+02    8.19917e+02    1.53600e-03    8.42376e+02    2.08227e+02
  mc.p5.hnu.272.nodk            272        0.07398        0.27200        0.29304        0.00390        0.21033        0.00049        0.90796        0.01305      919.22103     2109.68181       98.74195     1963.00000    1.78604e+02    8.49150e+02    1.78604e+02    1.42060e-05    4.83576e-06    7.95393e-08    2.70753e-08    1.08902e+02   -1.34692e+00    2.88434e+02    2.29418e-05    7.80942e-06    9.98345e+01    7.94076e-06    2.70305e-06    3.98258e+02    3.16771e-05    1.07829e-05    6.31510e+01    5.02298e-06    1.70983e-06    5.08078e+02    4.04122e-05    1.37564e-05    4.47778e+01    3.56159e-06    1.21237e-06    8.41725e+01    6.69502e-06    2.27900e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.23243e+03    5.35172e+03    4.45076e+02    1.11269e+02    4.98028e+02    9.03265e+02    2.06621e-03    9.94648e+02    2.13537e+02
  mc.p5.hnu.273.nodk            273        0.07453        0.27300        0.29447        0.00390        0.21142        0.00050        0.90121        0.01329      970.75145     2112.96070       98.41563     1981.00000    1.77864e+02    8.41267e+02    1.77864e+02    1.40742e-05    4.78984e-06    7.91287e-08    2.69297e-08    1.08621e+02   -1.21487e+00    2.87694e+02    2.27649e-05    7.74753e-06    9.97888e+01    7.89616e-06    2.68729e-06    3.97520e+02    3.14553e-05    1.07051e-05    6.30234e+01    4.98696e-06    1.69721e-06    5.06335e+02    4.00657e-05    1.36355e-05    4.47697e+01    3.54257e-06    1.20564e-06    8.95397e+01    7.08516e-06    2.41128e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.32671e+03    4.74302e+03    4.46460e+02    1.11615e+02    6.27079e+02    1.00106e+03    3.81850e-03    1.21223e+03    2.17448e+02
  mc.p5.hnu.274.nodk            274        0.07508        0.27400        0.29416        0.00370        0.20544        0.00049        0.90092        0.01372      949.83123     2024.29083       94.92941     1901.00000    1.72669e+02    8.40470e+02    1.72669e+02    1.40608e-05    4.78463e-06    8.14322e-08    2.77098e-08    1.05052e+02   -1.17362e+00    2.78497e+02    2.26786e-05    7.71709e-06    9.65401e+01    7.86147e-06    2.67511e-06    3.84323e+02    3.12963e-05    1.06495e-05    6.10455e+01    4.97107e-06    1.69156e-06    4.90142e+02    3.99133e-05    1.35817e-05    4.32658e+01    3.52323e-06    1.19889e-06    8.83861e+01    7.19747e-06    2.44916e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.28799e+03    4.35330e+03    4.09775e+02    1.02444e+02    5.65307e+02    9.49342e+02    3.67891e-03    1.14203e+03    2.01407e+02
  mc.p5.hnu.275.nodk            275        0.07563        0.27500        0.29460        0.00370        0.20561        0.00048        0.88830        0.01415     1045.17479     2029.65730       94.58103     1930.00000    1.71827e+02    8.35691e+02    1.71827e+02    1.39809e-05    4.75712e-06    8.13660e-08    2.76855e-08    1.04763e+02   -9.51267e-01    2.77655e+02    2.25917e-05    7.68704e-06    9.59576e+01    7.80769e-06    2.65664e-06    3.83481e+02    3.12023e-05    1.06169e-05    6.08896e+01    4.95435e-06    1.68576e-06    4.88297e+02    3.97308e-05    1.35188e-05    4.31170e+01    3.50826e-06    1.19372e-06    9.89158e+01    8.04839e-06    2.73854e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.46646e+03    3.73215e+03    4.11951e+02    1.02988e+02    6.81491e+02    1.01137e+03    5.40076e-03    1.33264e+03    2.06517e+02
  mc.p5.hnu.276.nodk            276        0.07618        0.27600        0.29508        0.00370        0.20652        0.00049        0.89821        0.01367      981.81874     2058.78713       94.33644     1930.00000    1.71566e+02    8.30728e+02    1.71566e+02    1.38979e-05    4.72894e-06    8.10060e-08    2.75634e-08    1.04681e+02   -1.23028e+00    2.77394e+02    2.24706e-05    7.64591e-06    9.62665e+01    7.79817e-06    2.65343e-06    3.83220e+02    3.10431e-05    1.05628e-05    6.07781e+01    4.92339e-06    1.67525e-06    4.88037e+02    3.95339e-05    1.34519e-05    4.30403e+01    3.48652e-06    1.18634e-06    8.56220e+01    6.93590e-06    2.36003e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.33209e+03    3.84005e+03    4.23860e+02    1.05965e+02    6.53799e+02    1.00567e+03    8.16427e-03    1.32599e+03    2.11942e+02
  mc.p5.hnu.277.nodk            277        0.07673        0.27700        0.29503        0.00370        0.20767        0.00049        0.90108        0.01356      982.30711     2082.44169       95.43243     1931.00000    1.73721e+02    8.36511e+02    1.73721e+02    1.39946e-05    4.76229e-06    8.05578e-08    2.74134e-08    1.05782e+02   -1.43164e+00    2.80550e+02    2.26005e-05    7.69081e-06    9.70148e+01    7.81530e-06    2.65950e-06    3.87378e+02    3.12063e-05    1.06193e-05    6.13212e+01    4.93990e-06    1.68102e-06    4.93191e+02    3.97304e-05    1.35200e-05    4.35820e+01    3.51087e-06    1.19473e-06    7.85415e+01    6.32714e-06    2.15309e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.32220e+03    3.92879e+03    4.33656e+02    1.08414e+02    6.83456e+02    1.02041e+03    9.22330e-03    1.39303e+03    2.17380e+02
  mc.p5.hnu.278.nodk            278        0.07728        0.27800        0.29551        0.00370        0.20825        0.00049        0.88727        0.01439     1093.95483     2038.95422       91.30550     1940.00000    1.66768e+02    8.00822e+02    1.66768e+02    1.33975e-05    4.55987e-06    8.03366e-08    2.73427e-08    1.01861e+02   -9.71464e-01    2.69593e+02    2.16582e-05    7.37139e-06    9.36731e+01    7.52538e-06    2.56127e-06    3.72417e+02    2.99187e-05    1.01829e-05    5.91699e+01    4.75351e-06    1.61786e-06    4.75241e+02    3.81793e-05    1.29944e-05    4.19088e+01    3.36681e-06    1.14590e-06    9.51455e+01    7.64367e-06    2.60153e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.49547e+03    3.37784e+03    4.15733e+02    1.03933e+02    5.77027e+02    9.52647e+02    1.11116e-02    1.19033e+03    2.23700e+02
  mc.p5.hnu.279.nodk            279        0.07784        0.27900        0.29688        0.00370        0.20953        0.00049        0.89366        0.01425     1077.16133     2058.55365       90.97735     1930.00000    1.66846e+02    7.96286e+02    1.66846e+02    1.33217e-05    4.53516e-06    7.98439e-08    2.71817e-08    1.01663e+02   -1.26450e+00    2.69676e+02    2.15320e-05    7.33024e-06    9.31079e+01    7.43410e-06    2.53083e-06    3.71494e+02    2.96615e-05    1.00978e-05    5.90579e+01    4.71541e-06    1.60529e-06    4.74319e+02    3.78715e-05    1.28928e-05    4.18053e+01    3.33790e-06    1.13634e-06    8.17582e+01    6.52790e-06    2.22233e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.43590e+03    3.44309e+03    4.23764e+02    1.05941e+02    5.46601e+02    9.62558e+02    1.93063e-02    1.13047e+03    2.28531e+02
