             channel           mass           mean     sqrt(mean)       full_acc          width      final_acc  final_acc_err       trig_eff   raw_trig_err raw_trig_sqerr             bg         bg_err         dt_obs     ul_acc_sig    ul_orig_sig          ul_mu          ul_br          ul_u2         ses_br         ses_u2     comb_sigma        dt_pull    high1_ul_mu    high1_ul_br    high1_ul_u2     low1_ul_mu     low1_ul_br     low1_ul_u2    high2_ul_mu    high2_ul_br    high2_ul_u2     low2_ul_mu     low2_ul_br     low2_ul_u2    high3_ul_mu    high3_ul_br    high3_ul_u2     low3_ul_mu     low3_ul_br     low3_ul_u2       dt_ul_mu       dt_ul_br       dt_ul_u2       dt_ll_mu       dt_ll_br       dt_ll_u2       err_trig       err_scat        err_muv       err_flux     err_hscale       err_hval       err_k3pi     err_hshape
  mc.p5.hnu.270.nodk            270        0.07290        0.27000        0.29322        0.00390        0.20910        0.00049        0.90239        0.01366      947.99451     2034.29056       93.63665     1971.00000    1.70834e+02    8.16998e+02    1.70834e+02    1.36682e-05    4.65570e-06    8.00083e-08    2.72527e-08    1.03933e+02   -6.08954e-01    2.75662e+02    2.20553e-05    7.51255e-06    9.54533e+01    7.63705e-06    2.60136e-06    3.80486e+02    3.04420e-05    1.03693e-05    6.03377e+01    4.82751e-06    1.64437e-06    4.85309e+02    3.88288e-05    1.32260e-05    4.27568e+01    3.42089e-06    1.16524e-06    1.18716e+02    9.49828e-06    3.23534e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.26865e+03    5.41067e+03    4.13834e+02    1.03458e+02    2.74026e+02    7.01616e+02    5.42033e-02    5.95515e+02
  mc.p5.hnu.271.nodk            271        0.07344        0.27100        0.29251        0.00390        0.20884        0.00049        0.91187        0.01292      883.43870     2097.04149       95.06876     1955.00000    1.73701e+02    8.31752e+02    1.73701e+02    1.39150e-05    4.73806e-06    8.01090e-08    2.72771e-08    1.05523e+02   -1.34607e+00    2.79524e+02    2.23924e-05    7.62460e-06    9.68461e+01    7.75824e-06    2.64168e-06    3.86354e+02    3.09504e-05    1.05386e-05    6.11446e+01    4.89823e-06    1.66785e-06    4.92169e+02    3.94272e-05    1.34250e-05    4.34293e+01    3.47908e-06    1.18463e-06    8.15848e+01    6.53567e-06    2.22540e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.15465e+03    5.28778e+03    4.39758e+02    1.09940e+02    3.83488e+02    8.19917e+02    1.53600e-01    8.42376e+02
  mc.p5.hnu.272.nodk            272        0.07398        0.27200        0.29304        0.00390        0.21033        0.00049        0.90796        0.01305      919.22103     2109.68181       97.62338     1963.00000    1.76942e+02    8.41246e+02    1.76942e+02    1.40738e-05    4.79075e-06    7.95393e-08    2.70753e-08    1.07889e+02   -1.35956e+00    2.85768e+02    2.27298e-05    7.73726e-06    9.88945e+01    7.86600e-06    2.67760e-06    3.94595e+02    3.13858e-05    1.06838e-05    6.25517e+01    4.97532e-06    1.69361e-06    5.03415e+02    4.00413e-05    1.36301e-05    4.44739e+01    3.53742e-06    1.20414e-06    8.28848e+01    6.59260e-06    2.24413e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.22611e+03    5.35172e+03    4.45076e+02    1.11269e+02    4.98028e+02    9.03265e+02    2.06621e-01    9.94648e+02
  mc.p5.hnu.273.nodk            273        0.07453        0.27300        0.29447        0.00390        0.21142        0.00050        0.90121        0.01329      970.75145     2112.96070       97.26866     1981.00000    1.76160e+02    8.33206e+02    1.76160e+02    1.39393e-05    4.74394e-06    7.91287e-08    2.69297e-08    1.07583e+02   -1.22659e+00    2.84988e+02    2.25507e-05    7.67465e-06    9.88138e+01    7.81901e-06    2.66103e-06    3.93817e+02    3.11622e-05    1.06054e-05    6.23982e+01    4.93749e-06    1.68037e-06    5.01632e+02    3.96935e-05    1.35088e-05    4.43226e+01    3.50719e-06    1.19360e-06    8.81677e+01    6.97660e-06    2.37433e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.31934e+03    4.74302e+03    4.46460e+02    1.11615e+02    6.27079e+02    1.00106e+03    3.81850e-01    1.21223e+03
  mc.p5.hnu.274.nodk            274        0.07508        0.27400        0.29416        0.00370        0.20544        0.00049        0.90092        0.01372      949.83123     2024.29083       93.82768     1901.00000    1.71037e+02    8.32525e+02    1.71037e+02    1.39279e-05    4.73941e-06    8.14322e-08    2.77098e-08    1.04057e+02   -1.18484e+00    2.75864e+02    2.24642e-05    7.64414e-06    9.56266e+01    7.78709e-06    2.64980e-06    3.80687e+02    3.10002e-05    1.05488e-05    6.04660e+01    4.92388e-06    1.67550e-06    4.85509e+02    3.95361e-05    1.34534e-05    4.28533e+01    3.48964e-06    1.18746e-06    8.70557e+01    7.08914e-06    2.41230e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.28107e+03    4.35330e+03    4.09775e+02    1.02444e+02    5.65307e+02    9.49342e+02    3.67891e-01    1.14203e+03
  mc.p5.hnu.275.nodk            275        0.07563        0.27500        0.29460        0.00370        0.20561        0.00048        0.88830        0.01415     1045.17479     2029.65730       93.43781     1930.00000    1.70134e+02    8.27459e+02    1.70134e+02    1.38432e-05    4.71026e-06    8.13660e-08    2.76855e-08    1.03732e+02   -9.60721e-01    2.74963e+02    2.23727e-05    7.61251e-06    9.49930e+01    7.72920e-06    2.62993e-06    3.79789e+02    3.09019e-05    1.05147e-05    6.02721e+01    4.90410e-06    1.66866e-06    4.83606e+02    3.93491e-05    1.33889e-05    4.26758e+01    3.47236e-06    1.18150e-06    9.74489e+01    7.92903e-06    2.69792e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.45749e+03    3.73215e+03    4.11951e+02    1.02988e+02    6.81491e+02    1.01137e+03    5.40076e-01    1.33264e+03
  mc.p5.hnu.276.nodk            276        0.07618        0.27600        0.29508        0.00370        0.20652        0.00049        0.89821        0.01367      981.81874     2058.78713       93.16995     1930.00000    1.69842e+02    8.22380e+02    1.69842e+02    1.37582e-05    4.68142e-06    8.10060e-08    2.75634e-08    1.03631e+02   -1.24274e+00    2.74671e+02    2.22500e-05    7.57085e-06    9.52752e+01    7.71786e-06    2.62611e-06    3.79497e+02    3.07415e-05    1.04602e-05    6.01408e+01    4.87177e-06    1.65768e-06    4.83315e+02    3.91514e-05    1.33218e-05    4.25842e+01    3.44958e-06    1.17376e-06    8.42408e+01    6.82401e-06    2.32196e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.32450e+03    3.84005e+03    4.23860e+02    1.05965e+02    6.53799e+02    1.00567e+03    8.16427e-01    1.32599e+03
  mc.p5.hnu.277.nodk            277        0.07673        0.27700        0.29503        0.00370        0.20767        0.00049        0.90108        0.01356      982.30711     2082.44169       94.25236     1931.00000    1.71976e+02    8.28105e+02    1.71976e+02    1.38540e-05    4.71443e-06    8.05578e-08    2.74134e-08    1.04718e+02   -1.44618e+00    2.77805e+02    2.23793e-05    7.61556e-06    9.60046e+01    7.73392e-06    2.63181e-06    3.82622e+02    3.08232e-05    1.04890e-05    6.08988e+01    4.90588e-06    1.66944e-06    4.88447e+02    3.93482e-05    1.33900e-05    4.31152e+01    3.47327e-06    1.18193e-06    7.72247e+01    6.22106e-06    2.11699e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.31483e+03    3.92879e+03    4.33656e+02    1.08414e+02    6.83456e+02    1.02041e+03    9.22330e-01    1.39303e+03
  mc.p5.hnu.278.nodk            278        0.07728        0.27800        0.29551        0.00370        0.20825        0.00049        0.88727        0.01439     1093.95483     2038.95422       90.02412     1940.00000    1.64885e+02    7.91781e+02    1.64885e+02    1.32463e-05    4.50839e-06    8.03366e-08    2.73427e-08    1.00714e+02   -9.82528e-01    2.66712e+02    2.14267e-05    7.29260e-06    9.25457e+01    7.43481e-06    2.53045e-06    3.68537e+02    2.96070e-05    1.00768e-05    5.84318e+01    4.69421e-06    1.59768e-06    4.70359e+02    3.77870e-05    1.28609e-05    4.13767e+01    3.32407e-06    1.13135e-06    9.35228e+01    7.51331e-06    2.55716e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.48572e+03    3.37784e+03    4.15733e+02    1.03933e+02    5.77027e+02    9.52647e+02    1.11116e+00    1.19033e+03
  mc.p5.hnu.279.nodk            279        0.07784        0.27900        0.29688        0.00370        0.20953        0.00049        0.89366        0.01425     1077.16133     2058.55365       89.67395     1930.00000    1.64934e+02    7.87161e+02    1.64934e+02    1.31690e-05    4.48319e-06    7.98439e-08    2.71817e-08    1.00499e+02   -1.27916e+00    2.66766e+02    2.12996e-05    7.25114e-06    9.24394e+01    7.38072e-06    2.51266e-06    3.67585e+02    2.93494e-05    9.99157e-06    5.83014e+01    4.65501e-06    1.58473e-06    4.69408e+02    3.74794e-05    1.27593e-05    4.13831e+01    3.30419e-06    1.12486e-06    8.02414e+01    6.40679e-06    2.18110e-06    0.00000e+00    0.00000e+00    0.00000e+00    1.42706e+03    3.44309e+03    4.23764e+02    1.05941e+02    5.46601e+02    9.62558e+02    1.93063e+00    1.13047e+03
